Ext-A,Ext-B,coordonnées-A,coordonnées-B,Type-de-liaison,Bande-de-fréquences-et-fréquence-centrale,Largeur-du-canal,Capacité-en-Mb/s,Fournisseur,Date-de-mise-en-service,OPERATEUR,Distance_km
Ghabou,NKC054,"17.37760876406068, -10.659361248123925","21.374621314589575, -7.773785974949362",Fiber optic,700 MHz,20,100,ZTE,2015,Mattel,536.291315241772
NKC054,NKC035,"21.374621314589575, -7.773785974949362","15.799204855146808, -5.927201205475237",Fiber optic,3.5 GHz,10,100,NOKIA,2015,Mattel,647.146380769297
NKC035,Kiffa3,"15.799204855146808, -5.927201205475237","21.155597300921674, -8.141690568641648",5G,1800 MHz,10,1000,NOKIA,2015,Mattel,637.3040475434857
Kiffa3,BA06,"21.155597300921674, -8.141690568641648","19.573441144980848, -12.286600120127705",Fiber optic,700 MHz,20,100,ZTE,2015,Mattel,466.8218199728254
BA06,NRR2,"19.573441144980848, -12.286600120127705","17.55113094676421, -8.06913817132829",Fiber optic,3.5 GHz,10,1000,ZTE,2015,Mattel,498.2812161657903
NRR2,Rosso2,"17.55113094676421, -8.06913817132829","22.391512505062472, -7.974449229530565",5G,1800 MHz,10,1000,NOKIA,2015,Mattel,535.9432955752327
Rosso2,NKC083,"22.391512505062472, -7.974449229530565","17.141132661446164, -11.37149498828345",5G,3.5 GHz,20,100,ZTE,2015,Mattel,681.5007884900324
NKC083,NKR11,"17.141132661446164, -11.37149498828345","23.975648517218055, -9.857687068769842",5G,3.5 GHz,100,1000,NOKIA,2015,Mattel,772.9272952786697
NKR11,daw,"23.975648517218055, -9.857687068769842","15.955093234202991, -13.312245657047493",5G,3.5 GHz,20,1000,NOKIA,2015,Mattel,958.5623543160604
daw,Kaedi2,"15.955093234202991, -13.312245657047493","22.271868163662592, -11.931956181982132",LTE,3.5 GHz,20,100,ZTE,2014,Mattel,714.1345276266185
Kaedi2,NNR11,"22.271868163662592, -11.931956181982132","15.823447074466996, -8.931422208743411",Fiber optic,3.5 GHz,100,1000,NOKIA,2014,Mattel,780.4613271709337
NNR11,NKC053,"15.823447074466996, -8.931422208743411","16.99971430980373, -8.731371960564816",Fiber optic,1800 MHz,20,20000,ZTE,2014,Mattel,131.91134535705075
NKC053,NKC143,"16.99971430980373, -8.731371960564816","15.839210428502243, -11.340608005829493",LTE,700 MHz,20,1000,ZTE,2014,Mattel,306.8476710864874
NKC143,tekan,"15.839210428502243, -11.340608005829493","17.989021037380983, -7.053593189229213",LTE,700 MHz,10,20000,NOKIA,2014,Mattel,514.929275027803
tekan,Taziazt,"17.989021037380983, -7.053593189229213","21.19751864883279, -10.384075279459536",LTE,3.5 GHz,100,100,ZTE,2014,Mattel,498.1895812271209
Taziazt,NKC075,"21.19751864883279, -10.384075279459536","21.948827063879936, -12.060073991620408",5G,1800 MHz,10,100,ZTE,2014,Mattel,192.4824745602118
NKC075,R-Kiz,"21.948827063879936, -12.060073991620408","21.5860981555953, -7.189652658575643",Fiber optic,700 MHz,20,20000,NOKIA,2014,Mattel,505.3225444750914
R-Kiz,Zouirat2,"21.5860981555953, -7.189652658575643","18.001448393039766, -15.297497051870563",Fiber optic,3.5 GHz,10,1000,NOKIA,2014,Mattel,937.4235984333465
Zouirat2,NAR8,"18.001448393039766, -15.297497051870563","18.04543388899859, -15.49046104972103",Fiber optic,3.5 GHz,10,20000,NOKIA,2014,Mattel,21.005099418381317
NAR8,NAR4,"18.04543388899859, -15.49046104972103","25.851684725919725, -10.110249231937185",Fiber optic,700 MHz,20,20000,ZTE,2014,Mattel,1027.2857273596842
NAR4,Kamor2,"25.851684725919725, -10.110249231937185","19.30814526458579, -9.544152350672142",LTE,3.5 GHz,10,100,ZTE,2014,Mattel,726.9561551158716
Kamor2,NRR5,"19.30814526458579, -9.544152350672142","19.709013329425616, -7.579519161977181",LTE,3.5 GHz,100,100,NOKIA,2014,Mattel,210.94228604040737
NRR5,NKC041,"19.709013329425616, -7.579519161977181","21.088724984285754, -6.892056984214356",Fiber optic,700 MHz,10,100,ZTE,2014,Mattel,168.76162875565765
NKC041,NNR12,"21.088724984285754, -6.892056984214356","16.822015452021557, -8.71221788492599",5G,1800 MHz,20,20000,NOKIA,2014,Mattel,509.6897229224435
NNR12,NKC144,"16.822015452021557, -8.71221788492599","16.725794132583317, -7.69201796957503",LTE,1800 MHz,20,1000,ZTE,2014,Mattel,109.28613502118492
NKC144,NKC120,"16.725794132583317, -7.69201796957503","23.788309806627858, -9.007327492667981",5G,1800 MHz,10,20000,NOKIA,2014,Mattel,793.8439713600425
NKC120,Boutilimit,"23.788309806627858, -9.007327492667981","18.046133680520484, -13.538276840561783",LTE,3.5 GHz,100,100,ZTE,2014,Mattel,791.2440200890208
Boutilimit,Guerou3,"18.046133680520484, -13.538276840561783","18.10483706757596, -10.248017531439578",Fiber optic,1800 MHz,20,100,NOKIA,2013,Mattel,348.3622627738096
Guerou3,BiR Mogrein,"18.10483706757596, -10.248017531439578","20.86211943207692, -9.575480585617491",5G,3.5 GHz,100,100,NOKIA,2013,Mattel,313.28368993924005
BiR Mogrein,NKC063,"20.86211943207692, -9.575480585617491","17.881555062057817, -9.787040541200113",Fiber optic,1800 MHz,20,100,ZTE,2013,Mattel,330.6862962063169
NKC063,NKC030,"17.881555062057817, -9.787040541200113","22.059404454656676, -7.774294657745621",Fiber optic,1800 MHz,10,100,ZTE,2013,Mattel,508.19726302361227
NKC030,NKC023,"22.059404454656676, -7.774294657745621","18.18519698536052, -15.43462586831277",LTE,3.5 GHz,20,20000,NOKIA,2013,Mattel,908.3590317592322
NKC023,Dafor,"18.18519698536052, -15.43462586831277","21.06596408715855, -13.199590094910393",5G,1800 MHz,10,1000,NOKIA,2013,Mattel,395.7801577205851
Dafor,Tatilet,"21.06596408715855, -13.199590094910393","26.03226827593985, -7.099584587619537",5G,700 MHz,10,20000,NOKIA,2013,Mattel,830.6681827180081
Tatilet,KNR2,"26.03226827593985, -7.099584587619537","18.17214891446783, -9.119307654174952",Fiber optic,700 MHz,20,20000,ZTE,2013,Mattel,894.9210076085242
KNR2,Voumlaglayta,"18.17214891446783, -9.119307654174952","22.482819023119227, -10.293719178515628",5G,1800 MHz,10,1000,NOKIA,2013,Mattel,492.7258757900615
Voumlaglayta,Benichab,"22.482819023119227, -10.293719178515628","18.580729390498608, -11.979583256397575",Fiber optic,1800 MHz,20,1000,ZTE,2013,Mattel,466.3952068435647
Benichab,NKC025,"18.580729390498608, -11.979583256397575","19.109104176089225, -12.415095567173509",5G,3.5 GHz,100,1000,NOKIA,2013,Mattel,74.34537350638503
NKC025,Arweidine,"19.109104176089225, -12.415095567173509","23.36725411774747, -8.789440264039547",Fiber optic,1800 MHz,10,20000,NOKIA,2013,Mattel,603.1787487665634
Arweidine,NKC045,"23.36725411774747, -8.789440264039547","18.768596127222022, -8.400754342864426",Fiber optic,1800 MHz,100,1000,NOKIA,2013,Mattel,510.7543990659481
NKC045,NKC070,"18.768596127222022, -8.400754342864426","20.819679967420104, -6.570755258332019",Fiber optic,3.5 GHz,10,1000,NOKIA,2013,Mattel,297.1844798226772
NKC070,Aleg1,"20.819679967420104, -6.570755258332019","16.58037791026501, -12.709768464692226",LTE,1800 MHz,10,1000,ZTE,2012,Mattel,799.4986598917872
Aleg1,NKC038,"16.58037791026501, -12.709768464692226","19.221181943128126, -10.5714511663389",Fiber optic,3.5 GHz,10,100,NOKIA,2012,Mattel,369.8071779735418
NKC038,NKC039,"19.221181943128126, -10.5714511663389","25.284880818195745, -10.023232374888194",Fiber optic,700 MHz,10,20000,ZTE,2012,Mattel,673.8307056151284
NKC039,NKC085,"25.284880818195745, -10.023232374888194","26.33413549404625, -7.541941353922013",Fiber optic,1800 MHz,10,1000,ZTE,2012,Mattel,274.6252008603653
NKC085,NKC088,"26.33413549404625, -7.541941353922013","18.047190428446918, -9.898682865224735",LTE,700 MHz,100,20000,NOKIA,2012,Mattel,949.204874198624
NKC088,NKC018,"18.047190428446918, -9.898682865224735","21.032232320841292, -8.141231773364948",LTE,3.5 GHz,20,20000,ZTE,2012,Mattel,378.4157535489426
NKC018,Legreidatt,"21.032232320841292, -8.141231773364948","19.527650075100652, -6.263439895382852",LTE,700 MHz,100,1000,NOKIA,2012,Mattel,257.3301417999534
Legreidatt,Tenafoudh,"19.527650075100652, -6.263439895382852","17.992726882233203, -6.545113018045427",LTE,3.5 GHz,20,100,ZTE,2012,Mattel,172.47573483768238
Tenafoudh,KNR3,"17.992726882233203, -6.545113018045427","16.214884193532022, -13.653904238488128",Fiber optic,700 MHz,20,20000,ZTE,2012,Mattel,781.6549740648743
KNR3,NKC006,"16.214884193532022, -13.653904238488128","21.164952906925066, -13.77490716355337",5G,3.5 GHz,20,20000,ZTE,2012,Mattel,548.0663960183332
NKC006,Bouanz,"21.164952906925066, -13.77490716355337","21.828062430568348, -6.5060164561512295",Fiber optic,700 MHz,100,1000,ZTE,2012,Mattel,756.7182373970275
Bouanz,NKC065,"21.828062430568348, -6.5060164561512295","21.35262152589837, -8.811559762414324",5G,1800 MHz,10,20000,ZTE,2012,Mattel,244.4847602900122
NKC065,RKR2,"21.35262152589837, -8.811559762414324","17.422709899795024, -9.581005866264288",Fiber optic,1800 MHz,100,20000,NOKIA,2012,Mattel,442.4707827648991
RKR2,NKC067,"17.422709899795024, -9.581005866264288","22.51684980068728, -6.639589138195813",LTE,3.5 GHz,10,20000,NOKIA,2012,Mattel,642.4383919933066
NKC067,NDB15,"22.51684980068728, -6.639589138195813","24.628093804837327, -11.290192502262482",5G,3.5 GHz,10,1000,NOKIA,2012,Mattel,529.1585109103868
NDB15,NKC073,"24.628093804837327, -11.290192502262482","21.17308955121809, -15.928610294224827",LTE,3.5 GHz,10,20000,NOKIA,2012,Mattel,610.5268435123771
NKC073,NKC055,"21.17308955121809, -15.928610294224827","18.258951815552372, -8.905007943614503",Fiber optic,700 MHz,100,1000,ZTE,2012,Mattel,803.7293036421663
NKC055,NKC012,"18.258951815552372, -8.905007943614503","19.841592011044, -10.817000178232082",Fiber optic,1800 MHz,100,20000,ZTE,2012,Mattel,266.8161938057941
NKC012,KSR1,"19.841592011044, -10.817000178232082","17.194998455149022, -13.381992408820075",LTE,1800 MHz,10,100,ZTE,2012,Mattel,398.9377146993626
KSR1,Gouray,"17.194998455149022, -13.381992408820075","22.986696722394758, -11.28318163845082",Fiber optic,1800 MHz,100,20000,NOKIA,2012,Mattel,677.667530411426
Gouray,NKC145,"22.986696722394758, -11.28318163845082","20.890131483394825, -11.316501833284333",5G,700 MHz,20,20000,ZTE,2012,Mattel,232.17720345919236
NKC145,Guerou1,"20.890131483394825, -11.316501833284333","17.40589895872251, -13.856152556395996",LTE,700 MHz,10,20000,ZTE,2016,Mattel,469.1477086442428
Guerou1,NKC098,"17.40589895872251, -13.856152556395996","20.606641650670728, -11.355145609082303",5G,3.5 GHz,10,20000,NOKIA,2016,Mattel,441.4091759930774
NKC098,NKC042,"20.606641650670728, -11.355145609082303","20.060459769073503, -7.076981970439165",5G,700 MHz,100,20000,ZTE,2016,Mattel,450.8055342124741
NKC042,NKC111,"20.060459769073503, -7.076981970439165","23.867268544236172, -7.0498422496565425",Fiber optic,3.5 GHz,100,1000,NOKIA,2016,Mattel,421.5375642517659
NKC111,Nbeiket Lahwach,"23.867268544236172, -7.0498422496565425","25.01288303432319, -8.516338049734351",LTE,1800 MHz,10,20000,ZTE,2016,Mattel,195.48471916678372
Nbeiket Lahwach,Koubenni_repeater,"25.01288303432319, -8.516338049734351","21.028917628410873, -16.052798343297543",Fiber optic,700 MHz,20,100,NOKIA,2016,Mattel,889.3664891902949
Koubenni_repeater,Moungel,"21.028917628410873, -16.052798343297543","16.38170401433392, -7.467969421193597",LTE,700 MHz,100,1000,NOKIA,2016,Mattel,1041.0379629728395
Moungel,Chagar New,"16.38170401433392, -7.467969421193597","22.98141514769752, -10.838437399300648",Fiber optic,3.5 GHz,10,1000,ZTE,2016,Mattel,811.4663594979666
Chagar New,NNR7,"22.98141514769752, -10.838437399300648","21.902894673101486, -8.475633057028245",Fiber optic,1800 MHz,20,100,ZTE,2016,Mattel,270.9579979669427
NNR7,NKC113,"21.902894673101486, -8.475633057028245","26.16808303003801, -7.6322353050578915",5G,3.5 GHz,10,20000,NOKIA,2016,Mattel,480.1299198204064
NKC113,NKC020,"26.16808303003801, -7.6322353050578915","23.554435201449365, -10.638739744437316",Fiber optic,700 MHz,20,20000,NOKIA,2016,Mattel,419.65761846527545
NKC020,NDB19,"23.554435201449365, -10.638739744437316","23.271705242027814, -8.066181920419869",LTE,1800 MHz,10,1000,NOKIA,2016,Mattel,264.78979249682334
NDB19,Tizelghav,"23.271705242027814, -8.066181920419869","15.763960488755835, -8.926937430569154",5G,1800 MHz,100,1000,NOKIA,2016,Mattel,835.9907428481574
Tizelghav,Djiuenni_repeater,"15.763960488755835, -8.926937430569154","17.23041296646682, -8.508733881284364",Fiber optic,1800 MHz,100,20000,NOKIA,2016,Mattel,168.31328847659162
Djiuenni_repeater,NKC028,"17.23041296646682, -8.508733881284364","17.925652067826398, -10.144280280391891",LTE,1800 MHz,10,20000,ZTE,2016,Mattel,189.90487813721305
NKC028,Kaedi4,"17.925652067826398, -10.144280280391891","21.995948671747236, -6.52491269480586",5G,3.5 GHz,10,100,ZTE,2016,Mattel,588.6228906973433
Kaedi4,Tamchiket,"21.995948671747236, -6.52491269480586","21.59774307481265, -6.653927853216805",Fiber optic,1800 MHz,20,100,ZTE,2016,Mattel,46.06649472712191
Tamchiket,NKR9,"21.59774307481265, -6.653927853216805","16.30674725429062, -9.018851002614623",5G,3.5 GHz,100,100,ZTE,2017,Mattel,636.3888838369687
NKR9,Kankoussa Repeater,"16.30674725429062, -9.018851002614623","19.409236684632756, -15.39004111603072",Fiber optic,1800 MHz,100,100,NOKIA,2017,Mattel,757.4441447621307
Kankoussa Repeater,Boghe2,"19.409236684632756, -15.39004111603072","21.420230862277357, -7.526062492118941",5G,1800 MHz,20,20000,NOKIA,2017,Mattel,850.2921259678479
Boghe2,NKC003,"21.420230862277357, -7.526062492118941","20.747898271309303, -6.951839025588484",LTE,1800 MHz,10,1000,ZTE,2017,Mattel,95.40190044256116
NKC003,NDB24,"20.747898271309303, -6.951839025588484","20.444681088789793, -9.044002379170175",5G,1800 MHz,10,100,ZTE,2017,Mattel,220.6690996169212
NDB24,NKC004,"20.444681088789793, -9.044002379170175","20.710388110057483, -14.650145693305848",5G,3.5 GHz,100,1000,ZTE,2017,Mattel,585.2075359669843
NKC004,NKR7,"20.710388110057483, -14.650145693305848","20.97256594251307, -14.602655065309305",Fiber optic,3.5 GHz,100,100,NOKIA,2017,Mattel,29.444843181550425
NKR7,NDB21,"20.97256594251307, -14.602655065309305","16.68531874303639, -10.984576040362011",5G,1800 MHz,100,100,ZTE,2017,Mattel,608.7120346634679
NDB21,RKR7,"16.68531874303639, -10.984576040362011","15.699695117680672, -6.168596902364252",Fiber optic,3.5 GHz,20,20000,NOKIA,2017,Mattel,526.3831262176953
RKR7,Nema3,"15.699695117680672, -6.168596902364252","20.237705260727836, -14.796216364406982",5G,700 MHz,100,100,NOKIA,2017,Mattel,1042.4526107544395
Nema3,laegareb,"20.237705260727836, -14.796216364406982","17.58604464660771, -10.883832813081366",Fiber optic,3.5 GHz,10,20000,ZTE,2017,Mattel,505.943284756097
laegareb,Ain_farba,"17.58604464660771, -10.883832813081366","16.529435183415927, -7.456886560274947",5G,1800 MHz,10,20000,NOKIA,2017,Mattel,383.0813852343008
Ain_farba,Wad Amour,"16.529435183415927, -7.456886560274947","21.178972160322928, -12.014209367196344",5G,3.5 GHz,100,1000,NOKIA,2017,Mattel,703.8098754766548
Wad Amour,Boumdeid,"21.178972160322928, -12.014209367196344","26.290020721697353, -7.834959968063721",5G,1800 MHz,10,20000,NOKIA,2017,Mattel,708.3850773028139
Boumdeid,NKC002,"26.290020721697353, -7.834959968063721","22.584130744487606, -6.702416141841727",5G,3.5 GHz,10,1000,NOKIA,2017,Mattel,426.2367269305429
NKC002,SDH_Rep,"22.584130744487606, -6.702416141841727","21.444268715038916, -7.062253963280295",LTE,3.5 GHz,20,20000,NOKIA,2017,Mattel,131.57202882985493
SDH_Rep,NKC097,"21.444268715038916, -7.062253963280295","17.797808780323834, -15.77095854987069",Fiber optic,1800 MHz,20,1000,ZTE,2017,Mattel,998.4282624405334
NKC097,NKC050,"17.797808780323834, -15.77095854987069","19.290096496840334, -10.860972531880565",LTE,700 MHz,10,20000,ZTE,2017,Mattel,544.0205274852036
NKC050,NDB9,"19.290096496840334, -10.860972531880565","17.22324367132093, -7.930850834379708",Fiber optic,700 MHz,10,100,NOKIA,2017,Mattel,385.1401832313912
NDB9,Benamera,"17.22324367132093, -7.930850834379708","22.32514054100051, -7.007454611230967",5G,1800 MHz,100,20000,NOKIA,2017,Mattel,573.0127988839029
Benamera,NNR10,"22.32514054100051, -7.007454611230967","16.30170205311405, -6.487725069219348",Fiber optic,700 MHz,20,20000,ZTE,2017,Mattel,669.0050460641181
NNR10,Ould Yenge Repeater,"16.30170205311405, -6.487725069219348","21.86900010454512, -8.039408490428885",Fiber optic,1800 MHz,100,20000,NOKIA,2017,Mattel,637.5107747221115
Ould Yenge Repeater,NAR6,"21.86900010454512, -8.039408490428885","23.90105793378912, -11.432372265286496",Fiber optic,1800 MHz,10,1000,NOKIA,2015,Mattel,414.51637744518905
NAR6,NKC128,"23.90105793378912, -11.432372265286496","19.06558940406201, -11.623612198095046",LTE,1800 MHz,100,1000,ZTE,2015,Mattel,535.7680671306772
NKC128,NDB7,"19.06558940406201, -11.623612198095046","18.183408585663514, -9.219688526411648",LTE,700 MHz,100,20000,ZTE,2015,Mattel,271.81582491403105
NDB7,Bassiknou2,"18.183408585663514, -9.219688526411648","16.473113608916538, -12.94461454764323",5G,700 MHz,10,100,NOKIA,2015,Mattel,438.8490925517117
Bassiknou2,Inal,"16.473113608916538, -12.94461454764323","17.27205380449435, -15.002893749164635",Fiber optic,1800 MHz,20,1000,NOKIA,2015,Mattel,236.4733794758468
Inal,NDB22,"17.27205380449435, -15.002893749164635","19.142509365428147, -11.865335558743938",LTE,3.5 GHz,20,1000,ZTE,2015,Mattel,391.14888361579534
NDB22,KSR5,"19.142509365428147, -11.865335558743938","18.727936035393093, -9.662127030100756",Fiber optic,1800 MHz,20,20000,NOKIA,2015,Mattel,236.5613452520835
KSR5,KNR11,"18.727936035393093, -9.662127030100756","18.717900528540834, -11.873068825581012",LTE,1800 MHz,10,20000,ZTE,2015,Mattel,233.17826438425988
KNR11,NDB11,"18.717900528540834, -11.873068825581012","18.583069829594947, -14.014527253547769",LTE,700 MHz,20,1000,ZTE,2015,Mattel,226.43598696468317
NDB11,KNR1,"18.583069829594947, -14.014527253547769","17.644155925115818, -8.617747863060465",Fiber optic,700 MHz,100,100,ZTE,2015,Mattel,580.527043132553
KNR1,NKC109,"17.644155925115818, -8.617747863060465","16.876183076069758, -11.993381532060074",LTE,1800 MHz,10,20000,NOKIA,2015,Mattel,368.8747307606175
NKC109,NKR6,"16.876183076069758, -11.993381532060074","16.123578859662825, -12.217000660356758",5G,700 MHz,20,100,ZTE,2015,Mattel,86.64041520831285
NKR6,NKR2,"16.123578859662825, -12.217000660356758","19.680940088423274, -9.298561660311265",5G,3.5 GHz,100,20000,ZTE,2015,Mattel,500.6123057544369
