Ext-A,Ext-B,coordonnées-A,coordonnées-B,Type-de-liaison,Bande-de-fréquences-et-fréquence-centrale,Largeur-du-canal,Capacité-en-Mb/s,Fournisseur,Date-de-mise-en-service,OPERATEUR
R-Kiz,Zouirat2,"21.5860981555953, -7.189652658575643","18.001448393039766, -15.297497051870563",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
Zouirat2,NAR8,"18.001448393039766, -15.297497051870563","18.04543388899859, -15.49046104972103",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
NAR8,NAR4,"18.04543388899859, -15.49046104972103","25.851684725919725, -10.110249231937185",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
NAR4,Kamor2,"25.851684725919725, -10.110249231937185","19.30814526458579, -9.544152350672142",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
Kamor2,NRR5,"19.30814526458579, -9.544152350672142","19.709013329425616, -7.579519161977181",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
NRR5,NKC041,"19.709013329425616, -7.579519161977181","21.088724984285754, -6.892056984214356",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
NKC041,NNR12,"21.088724984285754, -6.892056984214356","16.822015452021557, -8.71221788492599",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
NNR12,NKC144,"16.822015452021557, -8.71221788492599","16.725794132583317, -7.69201796957503",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
NKC144,NKC120,"16.725794132583317, -7.69201796957503","23.788309806627858, -9.007327492667981",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
NKC120,Boutilimit,"23.788309806627858, -9.007327492667981","18.046133680520484, -13.538276840561783",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
Boutilimit,Guerou3,"18.046133680520484, -13.538276840561783","18.10483706757596, -10.248017531439578",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
Guerou3,BiR Mogrein,"18.10483706757596, -10.248017531439578","20.86211943207692, -9.575480585617491",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
BiR Mogrein,NKC063,"20.86211943207692, -9.575480585617491","17.881555062057817, -9.787040541200113",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
NKC063,NKC030,"17.881555062057817, -9.787040541200113","22.059404454656676, -7.774294657745621",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
NKC030,NKC023,"22.059404454656676, -7.774294657745621","18.18519698536052, -15.43462586831277",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
NKC023,Dafor,"18.18519698536052, -15.43462586831277","21.06596408715855, -13.199590094910393",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
Dafor,Tatilet,"21.06596408715855, -13.199590094910393","26.03226827593985, -7.099584587619537",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
Tatilet,KNR2,"26.03226827593985, -7.099584587619537","18.17214891446783, -9.119307654174952",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
KNR2,Voumlaglayta,"18.17214891446783, -9.119307654174952","22.482819023119227, -10.293719178515628",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
Voumlaglayta,Benichab,"22.482819023119227, -10.293719178515628","18.580729390498608, -11.979583256397575",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
Benichab,NKC025,"18.580729390498608, -11.979583256397575","19.109104176089225, -12.415095567173509",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
NKC025,Arweidine,"19.109104176089225, -12.415095567173509","23.36725411774747, -8.789440264039547",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
Arweidine,NKC045,"23.36725411774747, -8.789440264039547","18.768596127222022, -8.400754342864426",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
NKC045,NKC070,"18.768596127222022, -8.400754342864426","20.819679967420104, -6.570755258332019",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
NKC070,Aleg1,"20.819679967420104, -6.570755258332019","16.58037791026501, -12.709768464692226",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
Aleg1,NKC038,"16.58037791026501, -12.709768464692226","19.221181943128126, -10.5714511663389",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
NKC038,NKC039,"19.221181943128126, -10.5714511663389","25.284880818195745, -10.023232374888194",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
NKC039,NKC085,"25.284880818195745, -10.023232374888194","26.33413549404625, -7.541941353922013",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
NKC085,NKC088,"26.33413549404625, -7.541941353922013","18.047190428446918, -9.898682865224735",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
NKC088,NKC018,"18.047190428446918, -9.898682865224735","21.032232320841292, -8.141231773364948",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
NKC018,Legreidatt,"21.032232320841292, -8.141231773364948","19.527650075100652, -6.263439895382852",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
Legreidatt,Tenafoudh,"19.527650075100652, -6.263439895382852","17.992726882233203, -6.545113018045427",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
Tenafoudh,KNR3,"17.992726882233203, -6.545113018045427","16.214884193532022, -13.653904238488128",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
KNR3,NKC006,"16.214884193532022, -13.653904238488128","21.164952906925066, -13.77490716355337",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
NKC006,Bouanz,"21.164952906925066, -13.77490716355337","21.828062430568348, -6.5060164561512295",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
Bouanz,NKC065,"21.828062430568348, -6.5060164561512295","21.35262152589837, -8.811559762414324",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
NKC065,RKR2,"21.35262152589837, -8.811559762414324","17.422709899795024, -9.581005866264288",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
RKR2,NKC067,"17.422709899795024, -9.581005866264288","22.51684980068728, -6.639589138195813",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
NKC067,NDB15,"22.51684980068728, -6.639589138195813","24.628093804837327, -11.290192502262482",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
NDB15,NKC073,"24.628093804837327, -11.290192502262482","21.17308955121809, -15.928610294224827",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
NKC073,NKC055,"21.17308955121809, -15.928610294224827","18.258951815552372, -8.905007943614503",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
NKC055,NKC012,"18.258951815552372, -8.905007943614503","19.841592011044, -10.817000178232082",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
NKC012,KSR1,"19.841592011044, -10.817000178232082","17.194998455149022, -13.381992408820075",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
KSR1,Gouray,"17.194998455149022, -13.381992408820075","22.986696722394758, -11.28318163845082",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
Gouray,NKC145,"22.986696722394758, -11.28318163845082","20.890131483394825, -11.316501833284333",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
NKC145,Guerou1,"20.890131483394825, -11.316501833284333","17.40589895872251, -13.856152556395996",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
Guerou1,NKC098,"17.40589895872251, -13.856152556395996","20.606641650670728, -11.355145609082303",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
NKC098,NKC042,"20.606641650670728, -11.355145609082303","20.060459769073503, -7.076981970439165",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
NKC042,NKC111,"20.060459769073503, -7.076981970439165","23.867268544236172, -7.0498422496565425",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
NKC111,Nbeiket Lahwach,"23.867268544236172, -7.0498422496565425","25.01288303432319, -8.516338049734351",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
Nbeiket Lahwach,Koubenni_repeater,"25.01288303432319, -8.516338049734351","21.028917628410873, -16.052798343297543",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
Koubenni_repeater,Moungel,"21.028917628410873, -16.052798343297543","16.38170401433392, -7.467969421193597",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
Moungel,Chagar New,"16.38170401433392, -7.467969421193597","22.98141514769752, -10.838437399300648",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
Chagar New,NNR7,"22.98141514769752, -10.838437399300648","21.902894673101486, -8.475633057028245",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
NNR7,NKC113,"21.902894673101486, -8.475633057028245","26.16808303003801, -7.6322353050578915",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
NKC113,NKC020,"26.16808303003801, -7.6322353050578915","23.554435201449365, -10.638739744437316",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
NKC020,NDB19,"23.554435201449365, -10.638739744437316","23.271705242027814, -8.066181920419869",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
NDB19,Tizelghav,"23.271705242027814, -8.066181920419869","15.763960488755835, -8.926937430569154",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
Tizelghav,Djiuenni_repeater,"15.763960488755835, -8.926937430569154","17.23041296646682, -8.508733881284364",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
Djiuenni_repeater,NKC028,"17.23041296646682, -8.508733881284364","17.925652067826398, -10.144280280391891",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
NKC028,Kaedi4,"17.925652067826398, -10.144280280391891","21.995948671747236, -6.52491269480586",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
Kaedi4,Tamchiket,"21.995948671747236, -6.52491269480586","21.59774307481265, -6.653927853216805",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
Tamchiket,NKR9,"21.59774307481265, -6.653927853216805","16.30674725429062, -9.018851002614623",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
NKR9,Kankoussa Repeater,"16.30674725429062, -9.018851002614623","19.409236684632756, -15.39004111603072",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
Kankoussa Repeater,Boghe2,"19.409236684632756, -15.39004111603072","21.420230862277357, -7.526062492118941",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
Boghe2,NKC003,"21.420230862277357, -7.526062492118941","20.747898271309303, -6.951839025588484",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
NKC003,NDB24,"20.747898271309303, -6.951839025588484","20.444681088789793, -9.044002379170175",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
NDB24,NKC004,"20.444681088789793, -9.044002379170175","20.710388110057483, -14.650145693305848",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
NKC004,NKR7,"20.710388110057483, -14.650145693305848","20.97256594251307, -14.602655065309305",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
NKR7,NDB21,"20.97256594251307, -14.602655065309305","16.68531874303639, -10.984576040362011",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
NDB21,RKR7,"16.68531874303639, -10.984576040362011","15.699695117680672, -6.168596902364252",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
RKR7,Nema3,"15.699695117680672, -6.168596902364252","20.237705260727836, -14.796216364406982",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
Nema3,laegareb,"20.237705260727836, -14.796216364406982","17.58604464660771, -10.883832813081366",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
laegareb,Ain_farba,"17.58604464660771, -10.883832813081366","16.529435183415927, -7.456886560274947",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
Ain_farba,Wad Amour,"16.529435183415927, -7.456886560274947","21.178972160322928, -12.014209367196344",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
Wad Amour,Boumdeid,"21.178972160322928, -12.014209367196344","26.290020721697353, -7.834959968063721",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
Boumdeid,NKC002,"26.290020721697353, -7.834959968063721","22.584130744487606, -6.702416141841727",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
NKC002,SDH_Rep,"22.584130744487606, -6.702416141841727","21.444268715038916, -7.062253963280295",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
SDH_Rep,NKC097,"21.444268715038916, -7.062253963280295","17.797808780323834, -15.77095854987069",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
NKC097,NKC050,"17.797808780323834, -15.77095854987069","19.290096496840334, -10.860972531880565",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
NKC050,NDB9,"19.290096496840334, -10.860972531880565","17.22324367132093, -7.930850834379708",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
NDB9,Benamera,"17.22324367132093, -7.930850834379708","22.32514054100051, -7.007454611230967",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
Benamera,NNR10,"22.32514054100051, -7.007454611230967","16.30170205311405, -6.487725069219348",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
NNR10,Ould Yenge Repeater,"16.30170205311405, -6.487725069219348","21.86900010454512, -8.039408490428885",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
Ould Yenge Repeater,NAR6,"21.86900010454512, -8.039408490428885","23.90105793378912, -11.432372265286496",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
NAR6,NKC128,"23.90105793378912, -11.432372265286496","19.06558940406201, -11.623612198095046",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
NKC128,NDB7,"19.06558940406201, -11.623612198095046","18.183408585663514, -9.219688526411648",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
NDB7,Bassiknou2,"18.183408585663514, -9.219688526411648","16.473113608916538, -12.94461454764323",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
Bassiknou2,Inal,"16.473113608916538, -12.94461454764323","17.27205380449435, -15.002893749164635",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
Inal,NDB22,"17.27205380449435, -15.002893749164635","19.142509365428147, -11.865335558743938",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
NDB22,KSR5,"19.142509365428147, -11.865335558743938","18.727936035393093, -9.662127030100756",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
KSR5,KNR11,"18.727936035393093, -9.662127030100756","18.717900528540834, -11.873068825581012",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
KNR11,NDB11,"18.717900528540834, -11.873068825581012","18.583069829594947, -14.014527253547769",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
NDB11,KNR1,"18.583069829594947, -14.014527253547769","17.644155925115818, -8.617747863060465",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
KNR1,NKC109,"17.644155925115818, -8.617747863060465","16.876183076069758, -11.993381532060074",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
NKC109,NKR6,"16.876183076069758, -11.993381532060074","16.123578859662825, -12.217000660356758",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
NKR6,NKR2,"16.123578859662825, -12.217000660356758","19.680940088423274, -9.298561660311265",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
