Ext-A,Ext-B,coordonnées-A,coordonnées-B,Type-de-liaison,Bande-de-fréquences-et-fréquence-centrale,Largeur-du-canal,Capacité-en-Mb/s,Fournisseur,Date-de-mise-en-service,OPERATEUR,Distance_km
NDB18,BFR1,"25.344389737472344, -10.924085054689714","22.991907335520473, -8.09527373795052",5G,700 MHz,20,100,ZTE,2015,Mauritel,387.9504484714354
BFR1,Twil_2,"22.991907335520473, -8.09527373795052","25.689914635843692, -6.8219381979880644",LTE,3.5 GHz,10,100,NOKIA,2015,Mauritel,325.5738481207075
Twil_2,ABR2,"25.689914635843692, -6.8219381979880644","17.102213963847294, -6.040334684928871",LTE,1800 MHz,100,20000,ZTE,2015,Mauritel,954.3008155582456
ABR2,Mbarra,"17.102213963847294, -6.040334684928871","15.862970646944579, -6.368942369259427",5G,3.5 GHz,10,20000,NOKIA,2015,Mauritel,141.55636820222625
Mbarra,NKC005,"15.862970646944579, -6.368942369259427","17.96121656462881, -9.284147913541638",5G,1800 MHz,20,1000,NOKIA,2015,Mauritel,387.76413652849885
NKC005,Adel bagrou,"17.96121656462881, -9.284147913541638","18.165135387285023, -6.131180260553537",Fiber optic,1800 MHz,20,1000,ZTE,2015,Mauritel,334.5537808196105
Adel bagrou,NKC007,"18.165135387285023, -6.131180260553537","22.863716990462436, -7.1984243569448925",Fiber optic,3.5 GHz,20,1000,ZTE,2015,Mauritel,531.953787917623
NKC007,Tmeimichat,"22.863716990462436, -7.1984243569448925","19.009180120308166, -8.481039623119573",LTE,3.5 GHz,20,100,ZTE,2015,Mauritel,447.1168290617795
Tmeimichat,NKC136,"19.009180120308166, -8.481039623119573","19.745952673704238, -8.972267484354322",LTE,1800 MHz,20,100,ZTE,2014,Mauritel,96.51284235775243
NKC136,KNR4,"19.745952673704238, -8.972267484354322","19.39857574733325, -10.734513854300907",5G,700 MHz,20,100,ZTE,2014,Mauritel,188.86202187091212
KNR4,NNR4,"19.39857574733325, -10.734513854300907","23.976409792427404, -10.454142503741709",Fiber optic,3.5 GHz,10,1000,ZTE,2014,Mauritel,507.7166880191929
NNR4,Zouirat3,"23.976409792427404, -10.454142503741709","18.28676146545218, -6.751522501056561",LTE,1800 MHz,100,20000,NOKIA,2014,Mauritel,737.9676991634764
Zouirat3,Kaedi1,"18.28676146545218, -6.751522501056561","20.29767303375767, -11.14065400855844",Fiber optic,700 MHz,100,20000,NOKIA,2014,Mauritel,512.1841083974631
Kaedi1,Oul Mbanny,"20.29767303375767, -11.14065400855844","20.907082092349206, -7.4536024874420175",5G,700 MHz,10,1000,ZTE,2014,Mauritel,390.2164475868044
Oul Mbanny,NDB3,"20.907082092349206, -7.4536024874420175","16.681330714956257, -11.542882107799077",5G,700 MHz,100,1000,ZTE,2014,Mauritel,636.0111491047983
NDB3,NKC034,"16.681330714956257, -11.542882107799077","21.347893251255492, -6.918542046324868",5G,700 MHz,20,100,NOKIA,2014,Mauritel,709.6997737193094
NKC034,Jouguentourou,"21.347893251255492, -6.918542046324868","18.62540629833567, -11.812250601670575",LTE,700 MHz,20,100,NOKIA,2014,Mauritel,594.1820878940696
Jouguentourou,NRR000,"18.62540629833567, -11.812250601670575","24.536945063358804, -6.971230917492061",Fiber optic,3.5 GHz,100,1000,NOKIA,2014,Mauritel,824.2866707235082
NRR000,Maghama,"24.536945063358804, -6.971230917492061","20.40753797212132, -9.883107375085103",LTE,1800 MHz,20,1000,ZTE,2014,Mauritel,546.6722607240689
Maghama,NKC130,"20.40753797212132, -9.883107375085103","24.157562892508174, -11.41008706086339",5G,1800 MHz,20,100,NOKIA,2014,Mauritel,444.0589910819485
NKC130,NKC044,"24.157562892508174, -11.41008706086339","16.591831481696463, -13.967134643901659",Fiber optic,3.5 GHz,10,20000,NOKIA,2014,Mauritel,879.0303156289777
NKC044,NKC125,"16.591831481696463, -13.967134643901659","17.079414566165077, -11.321557930099512",5G,1800 MHz,100,100,NOKIA,2014,Mauritel,287.07450636528176
NKC125,NKC115,"17.079414566165077, -11.321557930099512","25.434910403161766, -10.972910743937781",LTE,700 MHz,10,100,NOKIA,2014,Mauritel,925.8415446382476
NKC115,NAR12,"25.434910403161766, -10.972910743937781","22.649495309073565, -10.55928230070414",5G,1800 MHz,100,20000,NOKIA,2014,Mauritel,311.3645588739544
NAR12,Agweinit,"22.649495309073565, -10.55928230070414","23.769311455968708, -9.993566012311591",5G,700 MHz,100,20000,NOKIA,2014,Mauritel,136.86961190369558
Agweinit,Mata Molana,"23.769311455968708, -9.993566012311591","21.67129236986969, -12.199117842854697",Fiber optic,3.5 GHz,20,1000,NOKIA,2014,Mauritel,324.51392287611924
Mata Molana,Waad Naga,"21.67129236986969, -12.199117842854697","26.11586565862909, -7.083604359932092",5G,1800 MHz,20,1000,NOKIA,2014,Mauritel,716.561432607119
Waad Naga,RKR3,"26.11586565862909, -7.083604359932092","25.99888961810694, -10.441720723945682",LTE,1800 MHz,20,100,NOKIA,2014,Mauritel,336.2838708886304
RKR3,NDB12,"25.99888961810694, -10.441720723945682","18.233654146748393, -14.644659925985994",5G,700 MHz,10,20000,ZTE,2012,Mauritel,962.8000227462708
NDB12,Amourj Repeater,"18.233654146748393, -14.644659925985994","16.024591851031694, -8.329326157344408",LTE,1800 MHz,10,100,NOKIA,2012,Mauritel,715.041658576479
Amourj Repeater,Bababe,"16.024591851031694, -8.329326157344408","23.898347827066026, -9.67938728846656",Fiber optic,700 MHz,20,20000,NOKIA,2012,Mauritel,883.0211614602348
Bababe,NKC051,"23.898347827066026, -9.67938728846656","25.185701078633763, -5.39237254017778",5G,700 MHz,20,1000,ZTE,2012,Mauritel,457.1412998317382
NKC051,NDB4,"25.185701078633763, -5.39237254017778","21.553822617633905, -10.951503741676596",5G,3.5 GHz,100,20000,NOKIA,2012,Mauritel,696.1509317854461
NDB4,Medbougou,"21.553822617633905, -10.951503741676596","16.60467121776604, -15.956818584355723",LTE,700 MHz,20,20000,NOKIA,2012,Mauritel,759.8429604354662
Medbougou,NKC126,"16.60467121776604, -15.956818584355723","19.99311598953017, -15.279438317245814",LTE,1800 MHz,10,1000,NOKIA,2012,Mauritel,381.8207235202949
NKC126,Zouirat1,"19.99311598953017, -15.279438317245814","20.610003705331984, -7.013798724652704",5G,1800 MHz,10,100,ZTE,2012,Mauritel,865.9172008694102
Zouirat1,Lekshecheb,"20.610003705331984, -7.013798724652704","22.971291930539188, -7.509959804027435",Fiber optic,3.5 GHz,10,1000,NOKIA,2012,Mauritel,266.44567406301815
Lekshecheb,NKC099,"22.971291930539188, -7.509959804027435","21.16358304672147, -13.542090024410559",5G,700 MHz,100,20000,NOKIA,2012,Mauritel,653.907481038656
NKC099,NNR2,"21.16358304672147, -13.542090024410559","20.39281641800997, -12.01777022674156",5G,1800 MHz,10,20000,ZTE,2012,Mauritel,180.20102737576403
NNR2,NKC090,"20.39281641800997, -12.01777022674156","18.244804721893782, -13.684740838140943",LTE,3.5 GHz,20,1000,ZTE,2012,Mauritel,295.3321331313333
NKC090,Koubenni,"18.244804721893782, -13.684740838140943","19.28264282026231, -5.919650268050223",Fiber optic,700 MHz,100,1000,ZTE,2012,Mauritel,826.6897307756464
Koubenni,NDB10,"19.28264282026231, -5.919650268050223","20.556823987945748, -8.993981418186376",Fiber optic,3.5 GHz,20,20000,ZTE,2012,Mauritel,351.4205113322717
NDB10,NDB13,"20.556823987945748, -8.993981418186376","16.07478362938785, -7.558125711709211",5G,700 MHz,20,100,ZTE,2017,Mauritel,518.7797867929289
NDB13,Amourj,"16.07478362938785, -7.558125711709211","25.637617129813787, -10.892589517465472",5G,3.5 GHz,20,100,ZTE,2017,Mauritel,1114.0051797447816
Amourj,Agharghar1,"25.637617129813787, -10.892589517465472","18.294702612797106, -9.269858199077476",LTE,700 MHz,20,1000,ZTE,2017,Mauritel,830.1482301015694
Agharghar1,AKR1,"18.294702612797106, -9.269858199077476","16.87682604497123, -14.523265095422317",Fiber optic,3.5 GHz,100,1000,NOKIA,2017,Mauritel,579.2706211336938
AKR1,Chami,"16.87682604497123, -14.523265095422317","20.49337893818993, -9.067339354099968",LTE,1800 MHz,10,20000,NOKIA,2017,Mauritel,700.9417442294547
Chami,belgherban,"20.49337893818993, -9.067339354099968","18.44894928290224, -10.747391211062924",LTE,1800 MHz,20,1000,ZTE,2017,Mauritel,286.9275981085326
belgherban,Ain Bentilie,"18.44894928290224, -10.747391211062924","20.805460527754185, -12.465860427777748",LTE,1800 MHz,100,1000,NOKIA,2017,Mauritel,317.0726023071422
Ain Bentilie,NKC101,"20.805460527754185, -12.465860427777748","16.369166008887273, -5.619641923779909",LTE,700 MHz,10,1000,NOKIA,2017,Mauritel,873.4285459387085
NKC101,NKR3,"16.369166008887273, -5.619641923779909","22.311871174891543, -12.227225373685641",Fiber optic,3.5 GHz,100,20000,ZTE,2017,Mauritel,956.1137229831268
NKR3,NKC069,"22.311871174891543, -12.227225373685641","22.8512936587634, -12.50250891815704",Fiber optic,1800 MHz,100,1000,NOKIA,2017,Mauritel,66.10312035194627
NKC069,NKC043,"22.8512936587634, -12.50250891815704","20.101129037544275, -6.9172244133632645",Fiber optic,3.5 GHz,20,100,ZTE,2017,Mauritel,653.952458466148
NKC043,NKC118,"20.101129037544275, -6.9172244133632645","18.469504599687532, -11.948692574684024",LTE,3.5 GHz,10,20000,NOKIA,2017,Mauritel,558.8138401108648
NKC118,NKC068,"18.469504599687532, -11.948692574684024","20.998956144194377, -14.233394145957114",LTE,1800 MHz,20,20000,NOKIA,2017,Mauritel,368.4388532655373
NKC068,NKC059,"20.998956144194377, -14.233394145957114","21.15749124788908, -12.662886246946552",LTE,3.5 GHz,20,20000,NOKIA,2017,Mauritel,164.14158317246145
NKC059,NRR4,"21.15749124788908, -12.662886246946552","23.3325452229115, -10.962887457127088",LTE,700 MHz,100,1000,ZTE,2017,Mauritel,297.8482916226664
NRR4,NKC032,"23.3325452229115, -10.962887457127088","17.51389690762743, -8.31135992564462",LTE,3.5 GHz,10,1000,ZTE,2017,Mauritel,701.03928813366
NKC032,Doueirare,"17.51389690762743, -8.31135992564462","21.856678162969814, -9.115990364509468",5G,3.5 GHz,10,1000,NOKIA,2017,Mauritel,488.0914230374959
Doueirare,NKC014,"21.856678162969814, -9.115990364509468","25.761719493093487, -6.932741919289731",Fiber optic,700 MHz,100,1000,ZTE,2017,Mauritel,486.3388226486205
NKC014,NKR000,"25.761719493093487, -6.932741919289731","22.380303238648274, -10.662995178803737",Fiber optic,3.5 GHz,20,20000,ZTE,2017,Mauritel,533.0106824335314
NKR000,Mederdra_Rep,"22.380303238648274, -10.662995178803737","21.018958757450047, -7.569306103605577",LTE,700 MHz,10,100,NOKIA,2017,Mauritel,353.82739282409085
Mederdra_Rep,NKC082,"21.018958757450047, -7.569306103605577","19.221298366022026, -15.178268648109283",Fiber optic,700 MHz,10,1000,NOKIA,2018,Mauritel,820.0497153008021
NKC082,El Ghayra,"19.221298366022026, -15.178268648109283","22.61300433635823, -10.312022811944912",Fiber optic,1800 MHz,100,100,ZTE,2018,Mauritel,630.1973746174049
El Ghayra,TIDJIKJA,"22.61300433635823, -10.312022811944912","21.645735401837477, -12.934484769798804",LTE,3.5 GHz,100,100,ZTE,2018,Mauritel,290.9768299773368
TIDJIKJA,NAR9,"21.645735401837477, -12.934484769798804","23.754492367822643, -7.131900708070264",Fiber optic,3.5 GHz,100,1000,ZTE,2018,Mauritel,640.2213127334155
NAR9,NKR14,"23.754492367822643, -7.131900708070264","18.816386937041262, -10.410761117805787",5G,700 MHz,100,100,ZTE,2018,Mauritel,643.8962499924729
NKR14,NKC061,"18.816386937041262, -10.410761117805787","18.520111845385994, -9.84934527780134",5G,3.5 GHz,10,1000,NOKIA,2018,Mauritel,67.70146451182111
NKC061,KSR4,"18.520111845385994, -9.84934527780134","17.358196734366512, -11.388094133289227",LTE,1800 MHz,10,20000,ZTE,2018,Mauritel,207.63251693238533
KSR4,Leksayba,"17.358196734366512, -11.388094133289227","22.162177880443352, -8.260205922607824",5G,3.5 GHz,20,100,NOKIA,2018,Mauritel,624.6560866519413
Leksayba,Sava,"22.162177880443352, -8.260205922607824","19.09304488255463, -10.931231358157643",5G,700 MHz,100,20000,ZTE,2018,Mauritel,439.2393750730001
Sava,Nagalle,"19.09304488255463, -10.931231358157643","16.20454447099031, -10.958765021134102",LTE,700 MHz,100,20000,NOKIA,2018,Mauritel,319.7027761786714
Nagalle,Tomi,"16.20454447099031, -10.958765021134102","22.218067389988363, -12.557988408998014",5G,1800 MHz,100,20000,NOKIA,2018,Mauritel,686.5580395658683
Tomi,Boulahrath,"22.218067389988363, -12.557988408998014","21.035484036394262, -16.32843926127909",LTE,700 MHz,10,20000,ZTE,2018,Mauritel,411.7131313588765
Boulahrath,NKC092,"21.035484036394262, -16.32843926127909","18.892301800450124, -6.557660977743565",LTE,3.5 GHz,20,20000,ZTE,2018,Mauritel,1049.6544339454854
NKC092,Embaydi Essagha,"18.892301800450124, -6.557660977743565","25.687387920427238, -10.745521746008624",LTE,3.5 GHz,10,20000,ZTE,2018,Mauritel,867.2342058621854
Embaydi Essagha,NKC076,"25.687387920427238, -10.745521746008624","22.085220137828724, -8.012902044927799",LTE,1800 MHz,100,1000,NOKIA,2018,Mauritel,486.3915432502697
NKC076,Gualeb Ndour,"22.085220137828724, -8.012902044927799","17.065656054962165, -10.058916551502874",Fiber optic,700 MHz,20,100,NOKIA,2018,Mauritel,595.6572078422234
Gualeb Ndour,NKC102,"17.065656054962165, -10.058916551502874","25.134390979331826, -9.154597021427296",Fiber optic,3.5 GHz,100,100,NOKIA,2018,Mauritel,898.2836477901584
NKC102,Ayoun1,"25.134390979331826, -9.154597021427296","24.389969214686648, -11.576869921914987",Fiber optic,3.5 GHz,10,1000,NOKIA,2018,Mauritel,258.4960535403583
Ayoun1,NKC094,"24.389969214686648, -11.576869921914987","24.3478413020503, -8.562705634706582",5G,1800 MHz,10,20000,ZTE,2018,Mauritel,305.8455356084576
NKC094,Taziazt Repeater,"24.3478413020503, -8.562705634706582","18.708447072809854, -6.5690152694568305",Fiber optic,1800 MHz,100,1000,NOKIA,2018,Mauritel,657.6554242779399
Taziazt Repeater,Mbarra site2,"18.708447072809854, -6.5690152694568305","20.995767945035904, -7.714303078781711",LTE,700 MHz,20,1000,NOKIA,2018,Mauritel,280.1870256806669
Mbarra site2,BA01,"20.995767945035904, -7.714303078781711","19.924403622939998, -8.19751104143376",LTE,1800 MHz,20,1000,ZTE,2018,Mauritel,128.88126808442863
BA01,Ould Yenge,"19.924403622939998, -8.19751104143376","16.456632587242463, -8.414593204392439",5G,1800 MHz,100,20000,ZTE,2018,Mauritel,384.5089192472348
Ould Yenge,Adel bagrou repeater,"16.456632587242463, -8.414593204392439","20.760926126556168, -14.384431814297901",5G,700 MHz,100,20000,ZTE,2019,Mauritel,789.7094055911433
Adel bagrou repeater,NKCCB1,"20.760926126556168, -14.384431814297901","17.058210219452498, -10.984919514155507",Fiber optic,1800 MHz,10,100,NOKIA,2019,Mauritel,544.2242523764432
NKCCB1,KSR6,"17.058210219452498, -10.984919514155507","22.25160166577178, -6.548562625668682",LTE,1800 MHz,10,1000,NOKIA,2019,Mauritel,739.4382697372149
KSR6,Gleib Ejebeh,"22.25160166577178, -6.548562625668682","23.1057911918571, -8.120301584100162",LTE,700 MHz,100,1000,ZTE,2019,Mauritel,187.17555286178836
Gleib Ejebeh,NKC135,"23.1057911918571, -8.120301584100162","18.102571377129987, -14.215039219269656",LTE,3.5 GHz,20,1000,NOKIA,2019,Mauritel,842.648030006556
NKC135,NKC072,"18.102571377129987, -14.215039219269656","22.045317662103873, -11.031759233487985",LTE,1800 MHz,100,20000,NOKIA,2019,Mauritel,548.9257546096329
NKC072,Adhem Ahmed Moulooud,"22.045317662103873, -11.031759233487985","18.073710942851186, -8.080122418793552",LTE,3.5 GHz,20,20000,ZTE,2019,Mauritel,537.2115948153993
Adhem Ahmed Moulooud,NRR6,"18.073710942851186, -8.080122418793552","23.74762796232531, -9.845054054677504",5G,1800 MHz,100,20000,ZTE,2019,Mauritel,654.4489806164872
NRR6,AZR001,"23.74762796232531, -9.845054054677504","23.85335894957949, -10.37934624942905",Fiber optic,1800 MHz,100,1000,NOKIA,2019,Mauritel,55.69364759124207
AZR001,AZR002,"23.85335894957949, -10.37934624942905","19.34216451013761, -14.678053390541258",Fiber optic,700 MHz,100,100,NOKIA,2019,Mauritel,668.9436853852188
AZR002,NDB6,"19.34216451013761, -14.678053390541258","18.017563450214997, -8.822322226377283",LTE,3.5 GHz,10,1000,NOKIA,2019,Mauritel,634.8478361567468
NDB6,Taglait1,"18.017563450214997, -8.822322226377283","16.87866280281305, -12.283733646944517",LTE,700 MHz,20,100,ZTE,2019,Mauritel,388.6961334156841
Taglait1,NKR13,"16.87866280281305, -12.283733646944517","25.1693342486617, -5.990098252749739",LTE,700 MHz,10,1000,NOKIA,2019,Mauritel,1126.7246807512206
NKR13,NKC071,"25.1693342486617, -5.990098252749739","26.267340217296137, -8.00927837836083",Fiber optic,1800 MHz,10,20000,ZTE,2019,Mauritel,236.3360464020402
NKC071,Choum,"26.267340217296137, -8.00927837836083","17.46637359162537, -13.826299030180348",5G,1800 MHz,100,20000,NOKIA,2019,Mauritel,1144.5967218631604
Choum,NKC013,"17.46637359162537, -13.826299030180348","17.648359372265162, -12.714567331685823",LTE,700 MHz,10,100,NOKIA,2019,Mauritel,119.73415749183552
NKC013,NKC104,"17.648359372265162, -12.714567331685823","15.868529730880333, -6.394175068263799",5G,700 MHz,20,20000,ZTE,2019,Mauritel,702.0237702221159
NKC104,NNR13,"15.868529730880333, -6.394175068263799","19.40530205641089, -13.209322039391129",5G,700 MHz,10,20000,NOKIA,2019,Mauritel,822.1917246749481
NNR13,BA02,"19.40530205641089, -13.209322039391129","19.524011029066564, -8.23906827552901",5G,700 MHz,10,1000,NOKIA,2019,Mauritel,522.005393636768
BA02,KSR3,"19.524011029066564, -8.23906827552901","15.513595546485098, -12.13588867680923",5G,700 MHz,20,1000,ZTE,2019,Mauritel,606.7440405726982
KSR3,NKC108,"15.513595546485098, -12.13588867680923","22.617663364495534, -8.582246597442461",5G,1800 MHz,10,100,NOKIA,2019,Mauritel,870.6522227942903
NKC108,NKCCB2,"22.617663364495534, -8.582246597442461","20.078565799612363, -15.695353470779267",5G,3.5 GHz,100,100,ZTE,2019,Mauritel,789.4289171410541
NKCCB2,NKC132,"20.078565799612363, -15.695353470779267","25.1076918465123, -9.263942197439416",LTE,1800 MHz,10,20000,ZTE,2013,Mauritel,864.300498634892
NKC132,Fessala,"25.1076918465123, -9.263942197439416","21.972570563093125, -7.5446577570446856",5G,1800 MHz,20,1000,NOKIA,2016,Mauritel,389.0624304848155
Fessala,Barkeol,"21.972570563093125, -7.5446577570446856","21.10616361405006, -14.296166769127424",Fiber optic,3.5 GHz,20,20000,NOKIA,2016,Mauritel,705.8890861155877
Barkeol,NRR1,"21.10616361405006, -14.296166769127424","20.520394234055065, -15.777626633771682",5G,700 MHz,20,100,NOKIA,2016,Mauritel,167.29881054754702
NRR1,Timbedra1,"20.520394234055065, -15.777626633771682","19.927892634837022, -15.780700203414844",Fiber optic,1800 MHz,20,20000,ZTE,2016,Mauritel,65.59492385253458
Timbedra1,Tamneiratt,"19.927892634837022, -15.780700203414844","18.390627171788477, -12.737711455957633",LTE,1800 MHz,20,20000,ZTE,2016,Mauritel,362.5013557691113
Tamneiratt,Moujriya,"18.390627171788477, -12.737711455957633","21.221912167308034, -11.839745410825241",Fiber optic,1800 MHz,100,20000,ZTE,2016,Mauritel,327.2415844070111
Moujriya,ChalkhitDemba,"21.221912167308034, -11.839745410825241","16.689348797987037, -9.627548833733515",LTE,1800 MHz,10,20000,ZTE,2016,Mauritel,553.1419899458775
ChalkhitDemba,BA03,"16.689348797987037, -9.627548833733515","17.499042139991808, -8.919878473180717",Fiber optic,700 MHz,10,20000,ZTE,2013,Mauritel,117.05817460825746
BA03,NKC122,"17.499042139991808, -8.919878473180717","23.666103618777072, -10.804609150649732",LTE,700 MHz,10,1000,ZTE,2013,Mauritel,710.4455315946481
NKC122,NKC033,"23.666103618777072, -10.804609150649732","16.27508294052669, -11.136571587657018",LTE,700 MHz,10,20000,ZTE,2013,Mauritel,818.9597086095347
NKC033,ABR3,"16.27508294052669, -11.136571587657018","21.09990843216299, -12.080478688920566",5G,700 MHz,100,100,NOKIA,2013,Mauritel,543.2500074088872
ABR3,KNR7,"21.09990843216299, -12.080478688920566","18.28100103525905, -13.388812207903708",LTE,700 MHz,10,20000,NOKIA,2013,Mauritel,340.8679039950621
KNR7,NKC081,"18.28100103525905, -13.388812207903708","19.21267307376901, -12.457378635261998",Fiber optic,1800 MHz,20,20000,NOKIA,2013,Mauritel,142.41415753174908
NKC081,Bousteila Repeater,"19.21267307376901, -12.457378635261998","15.637718142407817, -6.117177907629527",Fiber optic,700 MHz,20,20000,ZTE,2013,Mauritel,781.0565007856472
Bousteila Repeater,NDB2,"15.637718142407817, -6.117177907629527","21.077087899086017, -14.888985798578464",Fiber optic,1800 MHz,10,20000,NOKIA,2013,Mauritel,1104.9629593343675
NDB2,Tichit,"21.077087899086017, -14.888985798578464","24.515958678882928, -10.240460234935096",Fiber optic,1800 MHz,100,1000,ZTE,2016,Mauritel,610.5001729351811
Tichit,Ghabra,"24.515958678882928, -10.240460234935096","22.440273011591373, -8.225137981261042",Fiber optic,1800 MHz,20,20000,ZTE,2016,Mauritel,308.5865963685877
Ghabra,KNR8,"22.440273011591373, -8.225137981261042","20.043440938462627, -15.230242559054807",LTE,1800 MHz,100,1000,ZTE,2016,Mauritel,773.9284035879309
KNR8,N'beika,"20.043440938462627, -15.230242559054807","26.039208496729106, -7.650734313835359",5G,700 MHz,100,1000,ZTE,2016,Mauritel,1021.4630409333944
N'beika,NKC089,"26.039208496729106, -7.650734313835359","24.65611292176557, -10.319803274369121",LTE,1800 MHz,100,20000,NOKIA,2016,Mauritel,309.2828063005199
