Ext-A,Ext-B,coordonnées-A,coordonnées-B,Type-de-liaison,Bande-de-fréquences-et-fréquence-centrale,Largeur-du-canal,Capacité-en-Mb/s,Fournisseur,Date-de-mise-en-service,OPERATEUR
NKC019,NKC103,"22.14878064618873, -9.45350634003752","20.018983663690673, -9.987633755842676",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
NKC103,Ayoun4,"20.018983663690673, -9.987633755842676","17.402151931793444, -9.471856639509694",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
Ayoun4,NDB5,"17.402151931793444, -9.471856639509694","16.79657656027836, -10.691749255635777",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
NDB5,le3leybat,"16.79657656027836, -10.691749255635777","18.56090155645277, -12.08148475901611",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
le3leybat,NKC091,"18.56090155645277, -12.08148475901611","17.99550405266713, -10.292759384950038",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
NKC091,sabousri,"17.99550405266713, -10.292759384950038","15.658465171134857, -13.163849680991738",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
sabousri,NRR3,"15.658465171134857, -13.163849680991738","18.62221376268422, -14.905563338548797",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
NRR3,Atar2,"18.62221376268422, -14.905563338548797","19.8605181845977, -7.358665459020422",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
Atar2,NKC137,"19.8605181845977, -7.358665459020422","23.765902081620453, -9.834939787179923",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
NKC137,NKC084,"23.765902081620453, -9.834939787179923","21.688134147408547, -7.8503840229592985",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
NKC084,NDB8,"21.688134147408547, -7.8503840229592985","22.440001266600852, -9.853301194841205",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
NDB8,NKC062,"22.440001266600852, -9.853301194841205","20.35400070733036, -14.494379044309635",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
NKC062,Selibaby2,"20.35400070733036, -14.494379044309635","21.70473154717271, -6.742244672425285",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
Selibaby2,Timbedra2,"21.70473154717271, -6.742244672425285","24.168742309243676, -10.966394113396056",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
Timbedra2,Keur_Macene,"24.168742309243676, -10.966394113396056","20.25227176370292, -15.468700347589118",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
Keur_Macene,NKC040,"20.25227176370292, -15.468700347589118","19.92364027175691, -12.159307611891393",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
NKC040,Tintane1,"19.92364027175691, -12.159307611891393","17.041111291165677, -13.545301512096092",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
Tintane1,El_Mabdouwa,"17.041111291165677, -13.545301512096092","19.570103057526982, -10.057726530367983",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
El_Mabdouwa,NAR10,"19.570103057526982, -10.057726530367983","24.84388389282026, -6.988108177316301",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
NAR10,BA07,"24.84388389282026, -6.988108177316301","20.136826246490713, -12.155244158890843",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
BA07,NNR6,"20.136826246490713, -12.155244158890843","15.859129678045852, -6.243140200647156",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
NNR6,Legran,"15.859129678045852, -6.243140200647156","19.418707500814676, -8.176974818242561",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
Legran,Diaguly,"19.418707500814676, -8.176974818242561","21.08559149731422, -14.456188026445847",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
Diaguly,Fderik1,"21.08559149731422, -14.456188026445847","21.832798014913607, -7.439462237373755",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
Fderik1,NKC046,"21.832798014913607, -7.439462237373755","19.328648032271687, -15.662461145017316",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
NKC046,NAR3,"19.328648032271687, -15.662461145017316","17.023560042858453, -12.095219932020486",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
NAR3,NKC106,"17.023560042858453, -12.095219932020486","21.612224900989503, -8.57052187463898",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
NKC106,Rosso3,"21.612224900989503, -8.57052187463898","17.010678501564303, -13.049986627763992",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
Rosso3,Bareina,"17.010678501564303, -13.049986627763992","22.165047341814354, -11.602156175993024",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
Bareina,NKC121,"22.165047341814354, -11.602156175993024","20.511184980877417, -13.827918653688101",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
NKC121,NKC139,"20.511184980877417, -13.827918653688101","18.135847213710218, -10.400113740690703",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
NKC139,KNR10,"18.135847213710218, -10.400113740690703","15.951287030425162, -7.560387568542126",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
KNR10,Atar1,"15.951287030425162, -7.560387568542126","18.248676904229736, -8.885567487490762",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
Atar1,NKC057,"18.248676904229736, -8.885567487490762","17.759219744314255, -6.951985477206469",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
NKC057,Mederdra1,"17.759219744314255, -6.951985477206469","22.22078067603291, -7.454510812553316",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
Mederdra1,KNR9,"22.22078067603291, -7.454510812553316","21.54271285376191, -7.538104695229196",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
KNR9,Bassiknou1,"21.54271285376191, -7.538104695229196","21.250431760271695, -11.679559378600741",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
Bassiknou1,KNR12,"21.250431760271695, -11.679559378600741","18.346908370229393, -8.512156314621809",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
KNR12,NKC074,"18.346908370229393, -8.512156314621809","16.135859830995923, -10.661303960277625",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
NKC074,Coumbi_Dao_Ghabou,"16.135859830995923, -10.661303960277625","19.03860635614939, -9.869774838636822",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
Coumbi_Dao_Ghabou,NKR12,"19.03860635614939, -9.869774838636822","20.120307777562438, -12.84419024275926",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
NKR12,NKC029,"20.120307777562438, -12.84419024275926","20.233557774309777, -7.404422373890188",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
NKC029,BA05,"20.233557774309777, -7.404422373890188","19.44732633133966, -15.17605626783029",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
BA05,Gleib Jrad,"19.44732633133966, -15.17605626783029","20.2157346118593, -9.034283353361577",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
Gleib Jrad,NKC117,"20.2157346118593, -9.034283353361577","16.544640139316737, -10.32299003444562",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
NKC117,KNR5,"16.544640139316737, -10.32299003444562","18.647684029984024, -8.911327480258526",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
KNR5,NKC017,"18.647684029984024, -8.911327480258526","23.39938035530058, -12.16528693204447",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
NKC017,NKC077,"23.39938035530058, -12.16528693204447","18.351032658837735, -12.703373174255578",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
NKC077,Bohdida,"18.351032658837735, -12.703373174255578","16.98376623630765, -8.838314053159706",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
Bohdida,KN R6-R7 Repeater,"16.98376623630765, -8.838314053159706","18.679255347559586, -13.779702145648479",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
KN R6-R7 Repeater,NKC129,"18.679255347559586, -13.779702145648479","15.836658299969137, -6.310762063067044",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
NKC129,NNR001,"15.836658299969137, -6.310762063067044","18.475341911565117, -9.199540412510238",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
NNR001,Teychtaya_arr,"18.475341911565117, -9.199540412510238","20.094835858763485, -10.188811986556225",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
Teychtaya_arr,NKC021,"20.094835858763485, -10.188811986556225","18.992284890945413, -15.696639848119645",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
NKC021,Richanajim,"18.992284890945413, -15.696639848119645","18.00182185723933, -12.018901697245532",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
Richanajim,BA04,"18.00182185723933, -12.018901697245532","25.23507082460487, -5.857583242012076",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
BA04,nema2,"25.23507082460487, -5.857583242012076","20.136754533892493, -16.065967936674202",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
nema2,NKC079,"20.136754533892493, -16.065967936674202","20.565087324320135, -12.919474705018038",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
NKC079,Twajil,"20.565087324320135, -12.919474705018038","22.036140927411665, -8.09118239688879",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
Twajil,RKR6,"22.036140927411665, -8.09118239688879","18.465883462684285, -13.901843380275935",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
RKR6,NKC105,"18.465883462684285, -13.901843380275935","17.34871585722234, -12.018576758600972",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
NKC105,Boutilimit_Rep,"17.34871585722234, -12.018576758600972","18.995221835098665, -9.567534643427337",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
Boutilimit_Rep,Guleb elkayne,"18.995221835098665, -9.567534643427337","23.356926147305156, -9.31236462152081",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
Guleb elkayne,NKC066,"23.356926147305156, -9.31236462152081","18.711551397255455, -6.457696364201846",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
NKC066,Wadan,"18.711551397255455, -6.457696364201846","16.849406944167498, -11.854437426558146",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
Wadan,Ayoun2,"16.849406944167498, -11.854437426558146","19.617895809629626, -10.416339415527318",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
Ayoun2,Sagne,"19.617895809629626, -10.416339415527318","20.472546047420185, -12.98849434770295",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
Sagne,NKC022,"20.472546047420185, -12.98849434770295","17.568425241005034, -8.951265096240775",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
NKC022,Tiyaret,"17.568425241005034, -8.951265096240775","16.528101012125866, -9.986957480459152",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
Tiyaret,Waly,"16.528101012125866, -9.986957480459152","24.880398455693076, -9.146255255840199",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
Waly,NKC016,"24.880398455693076, -9.146255255840199","24.155829321775965, -6.565402802989931",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
NKC016,NKC119,"24.155829321775965, -6.565402802989931","22.101302856961436, -7.898914601884579",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
NKC119,NAR11,"22.101302856961436, -7.898914601884579","21.068207674504134, -7.656850761857115",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
NAR11,NKC024,"21.068207674504134, -7.656850761857115","23.415299388746156, -8.152582185667386",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
NKC024,NKC080,"23.415299388746156, -8.152582185667386","18.926395040275075, -7.68828009397388",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
NKC080,echram,"18.926395040275075, -7.68828009397388","20.28826377535638, -6.605303564598223",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
echram,NKC064,"20.28826377535638, -6.605303564598223","16.499725302734873, -9.618101421934828",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
NKC064,Nebaghiya,"16.499725302734873, -9.618101421934828","20.501024949651494, -14.497780565637346",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
Nebaghiya,NKC056,"20.501024949651494, -14.497780565637346","16.528064237656388, -12.387446874545287",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
NKC056,Hasi_ehel_ahmed_bechna,"16.528064237656388, -12.387446874545287","19.170199485837312, -9.006929268502843",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
Hasi_ehel_ahmed_bechna,Selibaby1,"19.170199485837312, -9.006929268502843","23.304273135224086, -12.261427035411536",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
Selibaby1,NDB20,"23.304273135224086, -12.261427035411536","24.03758570815333, -10.166508717590105",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
NDB20,Kiffa2,"24.03758570815333, -10.166508717590105","21.280621265987232, -10.092128712929103",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
Kiffa2,Repeater nr r4_r5,"21.280621265987232, -10.092128712929103","16.636908621448768, -13.522953127213166",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
Repeater nr r4_r5,NKC052,"16.636908621448768, -13.522953127213166","18.299978754683274, -8.250665515275214",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
NKC052,NAR001,"18.299978754683274, -8.250665515275214","17.3761227672652, -7.916777307715249",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
NAR001,Repeater-KS,"17.3761227672652, -7.916777307715249","18.443539712161208, -13.612133804738397",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
Repeater-KS,Ojeft,"18.443539712161208, -13.612133804738397","15.887665724285348, -6.862659491591346",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
Ojeft,Mbout,"15.887665724285348, -6.862659491591346","16.87690234570502, -13.089937485092713",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
Mbout,NKC124,"16.87690234570502, -13.089937485092713","20.874287708345612, -15.301921814459515",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
NKC124,NKC001,"20.874287708345612, -15.301921814459515","25.311483163270214, -9.342841652861363",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
NKC001,KNR6,"25.311483163270214, -9.342841652861363","20.682607784443952, -15.339912646728518",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
KNR6,RKR4,"20.682607784443952, -15.339912646728518","17.344401176294916, -13.625986975802853",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
RKR4,AKJOUJET2,"17.344401176294916, -13.625986975802853","16.401167851103303, -14.037906867725019",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
AKJOUJET2,Chagar,"16.401167851103303, -14.037906867725019","23.302738974640164, -6.992128853117347",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
Chagar,Kiffa5,"23.302738974640164, -6.992128853117347","23.406350576029265, -8.426412365330167",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
Kiffa5,NKC047,"23.406350576029265, -8.426412365330167","18.952978215066327, -12.04043151086369",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
NKC047,NKC147,"18.952978215066327, -12.04043151086369","22.528446730337205, -6.7267307689013425",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
NKC147,Kiffa4,"22.528446730337205, -6.7267307689013425","19.75786266278085, -10.206161110094579",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
Kiffa4,NAR5,"19.75786266278085, -10.206161110094579","25.005591222997573, -11.545434073348819",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
NAR5,NAR2,"25.005591222997573, -11.545434073348819","20.001748246780068, -10.387090292617792",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
NAR2,NKC036,"20.001748246780068, -10.387090292617792","25.711682272271283, -10.005825106357344",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
NKC036,MAL,"25.711682272271283, -10.005825106357344","25.311197819953364, -7.2514727723464585",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
MAL,Kiffa1,"25.311197819953364, -7.2514727723464585","16.817560505871885, -12.103363926812245",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
Kiffa1,Nema4,"16.817560505871885, -12.103363926812245","17.32557875996721, -12.28984565448069",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
Nema4,Soihle,"17.32557875996721, -12.28984565448069","21.04454905723061, -9.650509112227084",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
Soihle,NKC116,"21.04454905723061, -9.650509112227084","21.288840465911175, -12.531149056024752",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
NKC116,AKJOUJET1,"21.288840465911175, -12.531149056024752","16.4126880322125, -14.020941655322341",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
AKJOUJET1,NKC110,"16.4126880322125, -14.020941655322341","21.822635501162132, -7.4384957890568835",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
NKC110,RKR1,"21.822635501162132, -7.4384957890568835","23.82692777353661, -10.73735797402929",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
RKR1,NKC009,"23.82692777353661, -10.73735797402929","16.38245351979224, -11.066556807280202",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
NKC009,NKC096,"16.38245351979224, -11.066556807280202","17.91156486458033, -15.811893682239754",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
NKC096,NKC058,"17.91156486458033, -15.811893682239754","23.781500854842946, -10.273112105838349",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
NKC058,Chinguitti,"23.781500854842946, -10.273112105838349","24.042789565394123, -9.1728401765282",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
Chinguitti,NKC112,"24.042789565394123, -9.1728401765282","17.237036008998977, -6.180608610408626",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
NKC112,Boghe1,"17.237036008998977, -6.180608610408626","16.659092305940398, -9.039205222939724",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
Boghe1,NKR1,"16.659092305940398, -9.039205222939724","21.47145884125504, -8.438562435184236",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
NKR1,NDB1,"21.47145884125504, -8.438562435184236","21.45010145151913, -12.784023091748844",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
NDB1,Nbeika,"21.45010145151913, -12.784023091748844","20.129956721957768, -12.16725073244399",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
Nbeika,Guerou2,"20.129956721957768, -12.16725073244399","22.27334676811483, -11.329398734893518",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
Guerou2,NKC011,"22.27334676811483, -11.329398734893518","21.690378245866125, -9.388195188131538",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
NKC011,NNR5,"21.690378245866125, -9.388195188131538","23.237965732519594, -6.604601716852629",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
NNR5,Voulaniya,"23.237965732519594, -6.604601716852629","21.517451260135562, -12.039450477335064",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
Voulaniya,NKC010,"21.517451260135562, -12.039450477335064","22.277054929619894, -13.057112618979755",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
NKC010,KSR2,"22.277054929619894, -13.057112618979755","17.81801703371259, -13.448848258857772",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
KSR2,ABR1,"17.81801703371259, -13.448848258857772","24.650527888348183, -7.219146856587264",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
ABR1,Kiffa6,"24.650527888348183, -7.219146856587264","17.023186385237086, -6.124228823339427",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
Kiffa6,NKC133,"17.023186385237086, -6.124228823339427","21.94903767677859, -8.599774417238283",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
