NodeB,fréquences(MHZ),Largeur du canal(MHZ),Fournisseur,Date mise en service,OPERATEUR,Location
Kaedi1,800/900/1800/2100,951.4-943.6;;825-870;1749.8-1844.8;2145-2155,ZTE,2007-08-23,Mauritel,"20.29767303375767, -11.14065400855844"
Oul Mbanny,900,951.4-943.6,ZTE,2010-08-23,Mauritel,"20.907082092349206, -7.4536024874420175"
NDB3,800/900/1800/2100,951.4-943.6;;825-870;1749.8-1844.8;2145-2150,ZTE,2007-08-23,Mauritel,"16.681330714956257, -11.542882107799077"
NKC034,800/900/1800/2100,951.4-943.6;;825-870;1749.8-1844.8;2145-2150,ZTE/Nokia,2017-02-12,Mauritel,"21.347893251255492, -6.918542046324868"
Jouguentourou,900,951.4-943.6,ZTE,2016-01-06,Mauritel,"18.62540629833567, -11.812250601670575"
NRR000,800/900/1800/2100,951.4-943.6;;825-870;1749.8-1844.8;2145-2150,ZTE/Nokia,2010-08-23,Mauritel,"24.536945063358804, -6.971230917492061"
Maghama,800/900,951.4-943.6;825-870,ZTE,2017-02-11,Mauritel,"20.40753797212132, -9.883107375085103"
NKC130,900/1800/2100,951.4-943.6;1749.8-1844.8;2145-2155,ZTE/Nokia,2019-03-29,Mauritel,"24.157562892508174, -11.41008706086339"
NKC044,800/900/1800/2100,951.4-943.6;;825-870;1749.8-1844.8;2145-2150,ZTE/Nokia,2007-08-23,Mauritel,"16.591831481696463, -13.967134643901659"
NKC125,900/1800/2100,951.4-943.6;1749.8-1844.8;2145-2155,Nokia,2010-08-23,Mauritel,"17.079414566165077, -11.321557930099512"
NKC115,900/1800/2100,951.4-943.6;1749.8-1844.8;2145-2155,ZTE/Nokia,2011-05-17,Mauritel,"25.434910403161766, -10.972910743937781"
NAR12,900,951.4-943.6;825-870,ZTE,2011-07-02,Mauritel,"22.649495309073565, -10.55928230070414"
Agweinit,900,951.4-943.6,ZTE,2016-05-16,Mauritel,"23.769311455968708, -9.993566012311591"
Mata Molana,800/900/2100,951.4-943.6;825-870;2145-2155,ZTE,2010-08-23,Mauritel,"21.67129236986969, -12.199117842854697"
Waad Naga,900,951.4-943.6,ZTE,2007-08-23,Mauritel,"26.11586565862909, -7.083604359932092"
RKR3,800/900,951.4-943.6;825-870,ZTE,2012-02-07,Mauritel,"25.99888961810694, -10.441720723945682"
NDB12,800/900/2100,951.4-943.6;825-870;2145-2155,ZTE,2009-08-23,Mauritel,"18.233654146748393, -14.644659925985994"
Amourj Repeater,800/900,951.4-943.6;825-870,ZTE,2014-01-13,Mauritel,"16.024591851031694, -8.329326157344408"
Bababe,800/900,951.4-943.6;825-870,ZTE,2007-08-23,Mauritel,"23.898347827066026, -9.67938728846656"
NKC051,800/900/1800/2100,951.4-943.6;;825-870;1749.8-1844.8;2145-2150,ZTE/Nokia,2010-08-23,Mauritel,"25.185701078633763, -5.39237254017778"
NDB4,800/900/1800/2100,951.4-943.6;;825-870;1749.8-1844.8;2145-2150,ZTE,2007-08-23,Mauritel,"21.553822617633905, -10.951503741676596"
Medbougou,900,951.4-943.6,ZTE,2011-08-16,Mauritel,"16.60467121776604, -15.956818584355723"
NKC126,900/1800/2100,951.4-943.6;1749.8-1844.8;2145-2155,Nokia,2010-08-23,Mauritel,"19.99311598953017, -15.279438317245814"
Zouirat1,800/900/1800/2100,951.4-943.6;;825-870;1749.8-1844.8;2145-2155,ZTE,2013-12-10,Mauritel,"20.610003705331984, -7.013798724652704"
Lekshecheb,900,951.4-943.6,ZTE,2014-08-17,Mauritel,"22.971291930539188, -7.509959804027435"
NKC099,900/1800/2100,951.4-943.6;1749.8-1844.8;2145-2155,ZTE/Nokia,2010-08-23,Mauritel,"21.16358304672147, -13.542090024410559"
NNR2,800/900,951.4-943.6;825-870,ZTE,2007-08-23,Mauritel,"20.39281641800997, -12.01777022674156"
NKC090,900/1800/2100,951.4-943.6;1749.8-1844.8;2145-2155,ZTE/Nokia,2016-03-14,Mauritel,"18.244804721893782, -13.684740838140943"
Koubenni,800/900/2100,951.4-943.6;825-870;2145-2155,ZTE,2017-08-26,Mauritel,"19.28264282026231, -5.919650268050223"
NDB10,900/2100,951.4-943.6;2145-2150,ZTE,2009-08-23,Mauritel,"20.556823987945748, -8.993981418186376"
NDB13,800/900/2100,951.4-943.6;825-870;2145-2155,ZTE,2009-08-23,Mauritel,"16.07478362938785, -7.558125711709211"
Amourj,800/900/1800,951.4-943.6;;825-870;1749.8-1844.8,ZTE,2016-07-08,Mauritel,"25.637617129813787, -10.892589517465472"
Agharghar1,900,951.4-943.6,ZTE,2019-04-12,Mauritel,"18.294702612797106, -9.269858199077476"
AKR1,900,951.4-943.6,ZTE,2014-01-15,Mauritel,"16.87682604497123, -14.523265095422317"
Chami,900/1800/2100,951.4-943.6;1749.8-1844.8;2145-2155,Nokia,2017-06-20,Mauritel,"20.49337893818993, -9.067339354099968"
belgherban,900/2100,951.4-943.6;2145-2155,ZTE,2017-02-04,Mauritel,"18.44894928290224, -10.747391211062924"
Ain Bentilie,900/2100,951.4-943.6;2145-2155,ZTE,2016-11-14,Mauritel,"20.805460527754185, -12.465860427777748"
NKC101,900/1800/2100,951.4-943.6;1749.8-1844.8;2145-2155,ZTE/Nokia,2017-03-16,Mauritel,"16.369166008887273, -5.619641923779909"
NKR3,800/900,951.4-943.6;825-870,ZTE,2007-08-23,Mauritel,"22.311871174891543, -12.227225373685641"
NKC069,800/900/1800/2100,951.4-943.6;;825-870;1749.8-1844.8;2145-2155,ZTE/Nokia,2010-08-23,Mauritel,"22.8512936587634, -12.50250891815704"
NKC043,800/900/1800/2100,951.4-943.6;;825-870;1749.8-1844.8;2145-2150,ZTE/Nokia,2007-08-23,Mauritel,"20.101129037544275, -6.9172244133632645"
NKC118,900/1800/2100,951.4-943.6;1749.8-1844.8;2145-2155,Nokia,2010-08-23,Mauritel,"18.469504599687532, -11.948692574684024"
NKC068,900/1800/2100,951.4-943.6;1749.8-1844.8;2145-2155,ZTE/Nokia,2010-08-23,Mauritel,"20.998956144194377, -14.233394145957114"
NKC059,800/900/1800/2100,951.4-943.6;;825-870;1749.8-1844.8;2145-2155,ZTE/Nokia,2010-08-23,Mauritel,"21.15749124788908, -12.662886246946552"
NRR4,900/2100,951.4-943.6;;825-870;;2145-2150,ZTE,2016-10-11,Mauritel,"23.3325452229115, -10.962887457127088"
NKC032,800/900/1800/2100,951.4-943.6;;825-870;1749.8-1844.8;2145-2150,ZTE/Nokia,2017-02-12,Mauritel,"17.51389690762743, -8.31135992564462"
Doueirare,900,951.4-943.6,ZTE,2017-05-16,Mauritel,"21.856678162969814, -9.115990364509468"
NKC014,800/900/1800/2100,951.4-943.6;;825-870;1749.8-1844.8;2145-2150,ZTE/Nokia,2007-08-23,Mauritel,"25.761719493093487, -6.932741919289731"
NKR000,800/900/1800/2100,951.4-943.6;;825-870;1749.8-1844.8;2145-2150,ZTE/Nokia,2010-08-23,Mauritel,"22.380303238648274, -10.662995178803737"
Mederdra_Rep,800/900/2100,951.4-943.6;825-870;2145-2155,ZTE,2019-01-10,Mauritel,"21.018958757450047, -7.569306103605577"
NKC082,900/1800/2100,951.4-943.6;1749.8-1844.8;2145-2155,ZTE/Nokia,2014-03-16,Mauritel,"19.221298366022026, -15.178268648109283"
El Ghayra,900/2100,951.4-943.6;2145-2150,ZTE,2019-05-04,Mauritel,"22.61300433635823, -10.312022811944912"
TIDJIKJA,800/900/2100,951.4-943.6;825-870;2145-2150,ZTE,2013-01-17,Mauritel,"21.645735401837477, -12.934484769798804"
NAR9,900,951.4-943.6;825-870,ZTE,2007-08-23,Mauritel,"23.754492367822643, -7.131900708070264"
NKR14,800/900,951.4-943.6;825-870,ZTE,2007-08-23,Mauritel,"18.816386937041262, -10.410761117805787"
NKC061,900/1800/2100,951.4-943.6;1749.8-1844.8;2145-2155,ZTE/Nokia,2010-08-23,Mauritel,"18.520111845385994, -9.84934527780134"
KSR4,800/900,951.4-943.6;825-870,ZTE,2019-01-17,Mauritel,"17.358196734366512, -11.388094133289227"
Leksayba,800/900,951.4-943.6;825-870,ZTE,2011-05-16,Mauritel,"22.162177880443352, -8.260205922607824"
Sava,900,951.4-943.6,ZTE,2011-05-16,Mauritel,"19.09304488255463, -10.931231358157643"
Nagalle,900,951.4-943.6,ZTE,2017-11-16,Mauritel,"16.20454447099031, -10.958765021134102"
Tomi,900,951.4-943.6,ZTE,2017-05-28,Mauritel,"22.218067389988363, -12.557988408998014"
Boulahrath,900,951.4-943.6,ZTE,2016-06-06,Mauritel,"21.035484036394262, -16.32843926127909"
NKC092,900/1800/2100,951.4-943.6;1749.8-1844.8;2145-2155,Nokia,2010-08-23,Mauritel,"18.892301800450124, -6.557660977743565"
Embaydi Essagha,900,951.4-943.6,ZTE,2012-05-16,Mauritel,"25.687387920427238, -10.745521746008624"
NKC076,900/1800/2100,951.4-943.6;1749.8-1844.8;2145-2155,ZTE/Nokia,2012-05-16,Mauritel,"22.085220137828724, -8.012902044927799"
Gualeb Ndour,900,951.4-943.6,ZTE,2019-09-02,Mauritel,"17.065656054962165, -10.058916551502874"
NKC102,900/1800/2100,951.4-943.6;1749.8-1844.8;2145-2155,ZTE/Nokia,2016-03-24,Mauritel,"25.134390979331826, -9.154597021427296"
Ayoun1,800/900/2100,951.4-943.6;825-870;2145-2155,ZTE,2007-08-23,Mauritel,"24.389969214686648, -11.576869921914987"
NKC094,900/1800/2100,951.4-943.6;1749.8-1844.8;2145-2155,ZTE/Nokia,2016-03-15,Mauritel,"24.3478413020503, -8.562705634706582"
Taziazt Repeater,900,951.4-943.6;825-870,ZTE,2017-02-12,Mauritel,"18.708447072809854, -6.5690152694568305"
Mbarra site2,900/2100,951.4-943.6;2145-2150,ZTE,2019-10-22,Mauritel,"20.995767945035904, -7.714303078781711"
BA01,900,951.4-943.6,ZTE,2017-12-04,Mauritel,"19.924403622939998, -8.19751104143376"
Ould Yenge,800/900,951.4-943.6;825-870,ZTE,2007-08-23,Mauritel,"16.456632587242463, -8.414593204392439"
Adel bagrou repeater,800/900/1800,951.4-943.6;;825-870;1749.8-1844.8,ZTE,2010-10-08,Mauritel,"20.760926126556168, -14.384431814297901"
NKCCB1,900/1800/2100,951.4-943.6;1749.8-1844.8;2145-2155,Nokia,2010-08-23,Mauritel,"17.058210219452498, -10.984919514155507"
KSR6,900,951.4-943.6,ZTE,2010-08-23,Mauritel,"22.25160166577178, -6.548562625668682"
Gleib Ejebeh,900,951.4-943.6,ZTE,2018-11-16,Mauritel,"23.1057911918571, -8.120301584100162"
NKC135,900/1800/2100,951.4-943.6;1749.8-1844.8;2145-2155,ZTE/Nokia,2019-06-03,Mauritel,"18.102571377129987, -14.215039219269656"
NKC072,800/900/1800/2100,951.4-943.6;;825-870;1749.8-1844.8;2145-2155,ZTE/Nokia,2010-08-23,Mauritel,"22.045317662103873, -11.031759233487985"
Adhem Ahmed Moulooud,900,951.4-943.6,ZTE,2017-10-01,Mauritel,"18.073710942851186, -8.080122418793552"
NRR6,800/900/1800/2100,951.4-943.6;;825-870;1749.8-1844.8;2145-2150,ZTE,2017-09-02,Mauritel,"23.74762796232531, -9.845054054677504"
AZR001,900,951.4-943.6,ZTE,2019-03-25,Mauritel,"23.85335894957949, -10.37934624942905"
AZR002,900,951.4-943.6,ZTE,2019-03-25,Mauritel,"19.34216451013761, -14.678053390541258"
NDB6,800/900/1800/2100,951.4-943.6;;825-870;1749.8-1844.8;2145-2150,ZTE,2010-08-23,Mauritel,"18.017563450214997, -8.822322226377283"
Taglait1,800/900,951.4-943.6;825-870,ZTE,2007-08-23,Mauritel,"16.87866280281305, -12.283733646944517"
NKR13,800/900,951.4-943.6;825-870,ZTE,2007-08-23,Mauritel,"25.1693342486617, -5.990098252749739"
NKC071,800/900/1800/2100,951.4-943.6;;825-870;1749.8-1844.8;2145-2155,ZTE/Nokia,2017-02-12,Mauritel,"26.267340217296137, -8.00927837836083"
Choum,900/2100,2145-2150,ZTE,2019-01-03,Mauritel,"17.46637359162537, -13.826299030180348"
NKC013,800/900/1800/2100,951.4-943.6;;825-870;1749.8-1844.8;2145-2150,ZTE/Nokia,2007-08-23,Mauritel,"17.648359372265162, -12.714567331685823"
NKC104,900/1800/2100,951.4-943.6;1749.8-1844.8;2145-2155,ZTE/Nokia,2017-05-30,Mauritel,"15.868529730880333, -6.394175068263799"
NNR13,800/900,951.4-943.6;825-870,ZTE,2007-08-23,Mauritel,"19.40530205641089, -13.209322039391129"
BA02,900,951.4-943.6,ZTE,2017-08-08,Mauritel,"19.524011029066564, -8.23906827552901"
KSR3,800/900,951.4-943.6;825-870,ZTE,2007-02-11,Mauritel,"15.513595546485098, -12.13588867680923"
NKC108,900/1800/2100,951.4-943.6;1749.8-1844.8;2145-2155,ZTE/Nokia,2016-03-16,Mauritel,"22.617663364495534, -8.582246597442461"
NKCCB2,900/1800/2100,951.4-943.6;1749.8-1844.8;2145-2155,Nokia,2010-08-23,Mauritel,"20.078565799612363, -15.695353470779267"
NKC132,900/1800/2100,951.4-943.6;1749.8-1844.8;2145-2155,Nokia,2010-08-23,Mauritel,"25.1076918465123, -9.263942197439416"
Fessala,800/900/1800,951.4-943.6;;825-870;1749.8-1844.8,ZTE,2015-11-16,Mauritel,"21.972570563093125, -7.5446577570446856"
Barkeol,900/2100,951.4-943.6;2145-2150,ZTE,2017-04-27,Mauritel,"21.10616361405006, -14.296166769127424"
NRR1,800/900,951.4-943.6;825-870,ZTE,2007-08-23,Mauritel,"20.520394234055065, -15.777626633771682"
Timbedra1,800/900/1800/2100,951.4-943.6;;825-870;1749.8-1844.8;2145-2155,ZTE,2007-08-23,Mauritel,"19.927892634837022, -15.780700203414844"
Tamneiratt,900,951.4-943.6,ZTE,2017-01-17,Mauritel,"18.390627171788477, -12.737711455957633"
Moujriya,900/2100,951.4-943.6;2145-2155,ZTE,2019-01-10,Mauritel,"21.221912167308034, -11.839745410825241"
ChalkhitDemba,900,951.4-943.6,ZTE,2019-03-01,Mauritel,"16.689348797987037, -9.627548833733515"
BA03,900,951.4-943.6,ZTE,2017-04-13,Mauritel,"17.499042139991808, -8.919878473180717"
NKC122,900/1800/2100,951.4-943.6;1749.8-1844.8;2145-2155,ZTE/Nokia,2019-03-29,Mauritel,"23.666103618777072, -10.804609150649732"
NKC033,900/1800/2100,951.4-943.6;1749.8-1844.8;2145-2155,ZTE/Nokia,2007-08-23,Mauritel,"16.27508294052669, -11.136571587657018"
ABR3,900,951.4-943.6,ZTE,2016-08-02,Mauritel,"21.09990843216299, -12.080478688920566"
KNR7,800/900,951.4-943.6;825-870,ZTE,2014-04-14,Mauritel,"18.28100103525905, -13.388812207903708"
NKC081,900/1800/2100,951.4-943.6;1749.8-1844.8;2145-2155,ZTE/Nokia,2013-03-16,Mauritel,"19.21267307376901, -12.457378635261998"
Bousteila Repeater,800/900,951.4-943.6;825-870,ZTE,2017-02-12,Mauritel,"15.637718142407817, -6.117177907629527"
NDB2,800/900/1800/2100,951.4-943.6;;825-870;1749.8-1844.8;2145-2150,ZTE,2007-08-23,Mauritel,"21.077087899086017, -14.888985798578464"
Tichit,900,951.4-943.6,ZTE,2011-11-17,Mauritel,"24.515958678882928, -10.240460234935096"
Ghabra,900,951.4-943.6,ZTE,2016-06-16,Mauritel,"22.440273011591373, -8.225137981261042"
KNR8,800/900,951.4-943.6;825-870,ZTE,2014-08-15,Mauritel,"20.043440938462627, -15.230242559054807"
N'beika,800/900/2100,951.4-943.6;825-870;2145-2155,ZTE,2007-08-23,Mauritel,"26.039208496729106, -7.650734313835359"
NKC089,900/1800/2100,951.4-943.6;1749.8-1844.8;2145-2155,ZTE/Nokia,2016-03-30,Mauritel,"24.65611292176557, -10.319803274369121"
