Ext-A,Ext-B,coordonnées-A,coordonnées-B,Type-de-liaison,Bande-de-fréquences-et-fréquence-centrale,Largeur-du-canal,Capacité-en-Mb/s,Fournisseur,Date-de-mise-en-service,OPERATEUR
NKC126,Zouirat1,"19.99311598953017, -15.279438317245814","20.610003705331984, -7.013798724652704",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
Zouirat1,Lekshecheb,"20.610003705331984, -7.013798724652704","22.971291930539188, -7.509959804027435",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
Lekshecheb,NKC099,"22.971291930539188, -7.509959804027435","21.16358304672147, -13.542090024410559",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
NKC099,NNR2,"21.16358304672147, -13.542090024410559","20.39281641800997, -12.01777022674156",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
NNR2,NKC090,"20.39281641800997, -12.01777022674156","18.244804721893782, -13.684740838140943",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
NKC090,Koubenni,"18.244804721893782, -13.684740838140943","19.28264282026231, -5.919650268050223",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
Koubenni,NDB10,"19.28264282026231, -5.919650268050223","20.556823987945748, -8.993981418186376",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
NDB10,NDB13,"20.556823987945748, -8.993981418186376","16.07478362938785, -7.558125711709211",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
NDB13,Amourj,"16.07478362938785, -7.558125711709211","25.637617129813787, -10.892589517465472",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
Amourj,Agharghar1,"25.637617129813787, -10.892589517465472","18.294702612797106, -9.269858199077476",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
Agharghar1,AKR1,"18.294702612797106, -9.269858199077476","16.87682604497123, -14.523265095422317",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
AKR1,Chami,"16.87682604497123, -14.523265095422317","20.49337893818993, -9.067339354099968",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
Chami,belgherban,"20.49337893818993, -9.067339354099968","18.44894928290224, -10.747391211062924",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
belgherban,Ain Bentilie,"18.44894928290224, -10.747391211062924","20.805460527754185, -12.465860427777748",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
Ain Bentilie,NKC101,"20.805460527754185, -12.465860427777748","16.369166008887273, -5.619641923779909",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
NKC101,NKR3,"16.369166008887273, -5.619641923779909","22.311871174891543, -12.227225373685641",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
NKR3,NKC069,"22.311871174891543, -12.227225373685641","22.8512936587634, -12.50250891815704",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
NKC069,NKC043,"22.8512936587634, -12.50250891815704","20.101129037544275, -6.9172244133632645",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
NKC043,NKC118,"20.101129037544275, -6.9172244133632645","18.469504599687532, -11.948692574684024",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
NKC118,NKC068,"18.469504599687532, -11.948692574684024","20.998956144194377, -14.233394145957114",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
NKC068,NKC059,"20.998956144194377, -14.233394145957114","21.15749124788908, -12.662886246946552",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
NKC059,NRR4,"21.15749124788908, -12.662886246946552","23.3325452229115, -10.962887457127088",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
NRR4,NKC032,"23.3325452229115, -10.962887457127088","17.51389690762743, -8.31135992564462",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
NKC032,Doueirare,"17.51389690762743, -8.31135992564462","21.856678162969814, -9.115990364509468",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
Doueirare,NKC014,"21.856678162969814, -9.115990364509468","25.761719493093487, -6.932741919289731",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
NKC014,NKR000,"25.761719493093487, -6.932741919289731","22.380303238648274, -10.662995178803737",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
NKR000,Mederdra_Rep,"22.380303238648274, -10.662995178803737","21.018958757450047, -7.569306103605577",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
Mederdra_Rep,NKC082,"21.018958757450047, -7.569306103605577","19.221298366022026, -15.178268648109283",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
NKC082,El Ghayra,"19.221298366022026, -15.178268648109283","22.61300433635823, -10.312022811944912",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
El Ghayra,TIDJIKJA,"22.61300433635823, -10.312022811944912","21.645735401837477, -12.934484769798804",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
TIDJIKJA,NAR9,"21.645735401837477, -12.934484769798804","23.754492367822643, -7.131900708070264",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
NAR9,NKR14,"23.754492367822643, -7.131900708070264","18.816386937041262, -10.410761117805787",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
NKR14,NKC061,"18.816386937041262, -10.410761117805787","18.520111845385994, -9.84934527780134",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
NKC061,KSR4,"18.520111845385994, -9.84934527780134","17.358196734366512, -11.388094133289227",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
KSR4,Leksayba,"17.358196734366512, -11.388094133289227","22.162177880443352, -8.260205922607824",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
Leksayba,Sava,"22.162177880443352, -8.260205922607824","19.09304488255463, -10.931231358157643",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
Sava,Nagalle,"19.09304488255463, -10.931231358157643","16.20454447099031, -10.958765021134102",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
Nagalle,Tomi,"16.20454447099031, -10.958765021134102","22.218067389988363, -12.557988408998014",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
Tomi,Boulahrath,"22.218067389988363, -12.557988408998014","21.035484036394262, -16.32843926127909",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
Boulahrath,NKC092,"21.035484036394262, -16.32843926127909","18.892301800450124, -6.557660977743565",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
NKC092,Embaydi Essagha,"18.892301800450124, -6.557660977743565","25.687387920427238, -10.745521746008624",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
Embaydi Essagha,NKC076,"25.687387920427238, -10.745521746008624","22.085220137828724, -8.012902044927799",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
NKC076,Gualeb Ndour,"22.085220137828724, -8.012902044927799","17.065656054962165, -10.058916551502874",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
Gualeb Ndour,NKC102,"17.065656054962165, -10.058916551502874","25.134390979331826, -9.154597021427296",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
NKC102,Ayoun1,"25.134390979331826, -9.154597021427296","24.389969214686648, -11.576869921914987",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
Ayoun1,NKC094,"24.389969214686648, -11.576869921914987","24.3478413020503, -8.562705634706582",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
NKC094,Taziazt Repeater,"24.3478413020503, -8.562705634706582","18.708447072809854, -6.5690152694568305",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
Taziazt Repeater,Mbarra site2,"18.708447072809854, -6.5690152694568305","20.995767945035904, -7.714303078781711",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
Mbarra site2,BA01,"20.995767945035904, -7.714303078781711","19.924403622939998, -8.19751104143376",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
BA01,Ould Yenge,"19.924403622939998, -8.19751104143376","16.456632587242463, -8.414593204392439",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
Ould Yenge,Adel bagrou repeater,"16.456632587242463, -8.414593204392439","20.760926126556168, -14.384431814297901",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
Adel bagrou repeater,NKCCB1,"20.760926126556168, -14.384431814297901","17.058210219452498, -10.984919514155507",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
NKCCB1,KSR6,"17.058210219452498, -10.984919514155507","22.25160166577178, -6.548562625668682",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
KSR6,Gleib Ejebeh,"22.25160166577178, -6.548562625668682","23.1057911918571, -8.120301584100162",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
Gleib Ejebeh,NKC135,"23.1057911918571, -8.120301584100162","18.102571377129987, -14.215039219269656",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
NKC135,NKC072,"18.102571377129987, -14.215039219269656","22.045317662103873, -11.031759233487985",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
NKC072,Adhem Ahmed Moulooud,"22.045317662103873, -11.031759233487985","18.073710942851186, -8.080122418793552",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
Adhem Ahmed Moulooud,NRR6,"18.073710942851186, -8.080122418793552","23.74762796232531, -9.845054054677504",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
NRR6,AZR001,"23.74762796232531, -9.845054054677504","23.85335894957949, -10.37934624942905",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
AZR001,AZR002,"23.85335894957949, -10.37934624942905","19.34216451013761, -14.678053390541258",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
AZR002,NDB6,"19.34216451013761, -14.678053390541258","18.017563450214997, -8.822322226377283",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
NDB6,Taglait1,"18.017563450214997, -8.822322226377283","16.87866280281305, -12.283733646944517",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
Taglait1,NKR13,"16.87866280281305, -12.283733646944517","25.1693342486617, -5.990098252749739",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
NKR13,NKC071,"25.1693342486617, -5.990098252749739","26.267340217296137, -8.00927837836083",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
NKC071,Choum,"26.267340217296137, -8.00927837836083","17.46637359162537, -13.826299030180348",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
Choum,NKC013,"17.46637359162537, -13.826299030180348","17.648359372265162, -12.714567331685823",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
NKC013,NKC104,"17.648359372265162, -12.714567331685823","15.868529730880333, -6.394175068263799",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
NKC104,NNR13,"15.868529730880333, -6.394175068263799","19.40530205641089, -13.209322039391129",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
NNR13,BA02,"19.40530205641089, -13.209322039391129","19.524011029066564, -8.23906827552901",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
BA02,KSR3,"19.524011029066564, -8.23906827552901","15.513595546485098, -12.13588867680923",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
KSR3,NKC108,"15.513595546485098, -12.13588867680923","22.617663364495534, -8.582246597442461",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
NKC108,NKCCB2,"22.617663364495534, -8.582246597442461","20.078565799612363, -15.695353470779267",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
NKCCB2,NKC132,"20.078565799612363, -15.695353470779267","25.1076918465123, -9.263942197439416",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
NKC132,Fessala,"25.1076918465123, -9.263942197439416","21.972570563093125, -7.5446577570446856",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
Fessala,Barkeol,"21.972570563093125, -7.5446577570446856","21.10616361405006, -14.296166769127424",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
Barkeol,NRR1,"21.10616361405006, -14.296166769127424","20.520394234055065, -15.777626633771682",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
NRR1,Timbedra1,"20.520394234055065, -15.777626633771682","19.927892634837022, -15.780700203414844",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
Timbedra1,Tamneiratt,"19.927892634837022, -15.780700203414844","18.390627171788477, -12.737711455957633",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
Tamneiratt,Moujriya,"18.390627171788477, -12.737711455957633","21.221912167308034, -11.839745410825241",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
Moujriya,ChalkhitDemba,"21.221912167308034, -11.839745410825241","16.689348797987037, -9.627548833733515",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
ChalkhitDemba,BA03,"16.689348797987037, -9.627548833733515","17.499042139991808, -8.919878473180717",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
BA03,NKC122,"17.499042139991808, -8.919878473180717","23.666103618777072, -10.804609150649732",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
NKC122,NKC033,"23.666103618777072, -10.804609150649732","16.27508294052669, -11.136571587657018",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
NKC033,ABR3,"16.27508294052669, -11.136571587657018","21.09990843216299, -12.080478688920566",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
ABR3,KNR7,"21.09990843216299, -12.080478688920566","18.28100103525905, -13.388812207903708",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
KNR7,NKC081,"18.28100103525905, -13.388812207903708","19.21267307376901, -12.457378635261998",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
NKC081,Bousteila Repeater,"19.21267307376901, -12.457378635261998","15.637718142407817, -6.117177907629527",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
Bousteila Repeater,NDB2,"15.637718142407817, -6.117177907629527","21.077087899086017, -14.888985798578464",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
NDB2,Tichit,"21.077087899086017, -14.888985798578464","24.515958678882928, -10.240460234935096",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
Tichit,Ghabra,"24.515958678882928, -10.240460234935096","22.440273011591373, -8.225137981261042",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
Ghabra,KNR8,"22.440273011591373, -8.225137981261042","20.043440938462627, -15.230242559054807",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
KNR8,N'beika,"20.043440938462627, -15.230242559054807","26.039208496729106, -7.650734313835359",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
N'beika,NKC089,"26.039208496729106, -7.650734313835359","24.65611292176557, -10.319803274369121",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
