NodeB,fréquences(MHZ),Largeur du canal(MHZ),Fournisseur,Date mise en service,OPERATEUR,Location
Atar1,800/900/1800/2100,825-870;951.4-943.6;1749.8-1844.8;2145-2150,ZTE/Nokia,2017-09-27,Chinguitel,"18.248676904229736, -8.885567487490762"
NKC057,800/900/1800/2100,951.4-943.6;;825-870;1749.8-1844.8;2145-2150,ZTE/Nokia,2010-08-23,Chinguitel,"17.759219744314255, -6.951985477206469"
Mederdra1,800/900/2100,951.4-943.6;825-870;2145-2150,ZTE,2019-01-10,Chinguitel,"22.22078067603291, -7.454510812553316"
KNR9,800/900,951.4-943.6;825-870,ZTE,2018-02-11,Chinguitel,"21.54271285376191, -7.538104695229196"
Bassiknou1,800/900,951.4-943.6;825-870,ZTE,2017-08-01,Chinguitel,"21.250431760271695, -11.679559378600741"
KNR12,800/900,951.4-943.6;825-870,ZTE,2007-08-23,Chinguitel,"18.346908370229393, -8.512156314621809"
NKC074,900/1800/2100,951.4-943.6;1749.8-1844.8;2145-2155,ZTE/Nokia,2011-03-16,Chinguitel,"16.135859830995923, -10.661303960277625"
Coumbi_Dao_Ghabou,900,951.4-943.6,ZTE,2010-08-23,Chinguitel,"19.03860635614939, -9.869774838636822"
NKR12,800/900/1800,951.4-943.6;;825-870;1749.8-1844.8,ZTE,2016-11-08,Chinguitel,"20.120307777562438, -12.84419024275926"
NKC029,800/900/1800/2100,951.4-943.6;;825-870;1749.8-1844.8;2145-2150,ZTE/Nokia,2007-08-23,Chinguitel,"20.233557774309777, -7.404422373890188"
BA05,900,951.4-943.6,ZTE,2017-06-08,Chinguitel,"19.44732633133966, -15.17605626783029"
Gleib Jrad,900,951.4-943.6,ZTE,2010-01-17,Chinguitel,"20.2157346118593, -9.034283353361577"
NKC117,900/1800/2100,951.4-943.6;1749.8-1844.8;2145-2155,ZTE/Nokia,2012-05-17,Chinguitel,"16.544640139316737, -10.32299003444562"
KNR5,800/900,951.4-943.6;825-870,ZTE,2014-02-11,Chinguitel,"18.647684029984024, -8.911327480258526"
NKC017,800/900/1800/2100,951.4-943.6;;825-870;1749.8-1844.8;2145-2150,ZTE/Nokia,2007-08-23,Chinguitel,"23.39938035530058, -12.16528693204447"
NKC077,900/1800/2100,951.4-943.6;1749.8-1844.8;2145-2155,ZTE/Nokia,2012-03-16,Chinguitel,"18.351032658837735, -12.703373174255578"
Bohdida,900,951.4-943.6,ZTE,2016-01-05,Chinguitel,"16.98376623630765, -8.838314053159706"
KN R6-R7 Repeater,800/900/1800,951.4-943.6;;825-870;1749.8-1844.8,ZTE,2013-11-16,Chinguitel,"18.679255347559586, -13.779702145648479"
NKC129,900/1800/2100,951.4-943.6;1749.8-1844.8;2145-2155,Nokia,2010-08-23,Chinguitel,"15.836658299969137, -6.310762063067044"
NNR001,900/1800/2100,951.4-943.6;1749.8-1844.8;2145-2155,ZTE/Nokia,2010-08-23,Chinguitel,"18.475341911565117, -9.199540412510238"
Teychtaya_arr,900,951.4-943.6,ZTE,2017-06-16,Chinguitel,"20.094835858763485, -10.188811986556225"
NKC021,800/900/1800/2100,951.4-943.6;;825-870;1749.8-1844.8;2145-2150,ZTE/Nokia,2010-08-23,Chinguitel,"18.992284890945413, -15.696639848119645"
Richanajim,900,951.4-943.6,ZTE,2017-11-02,Chinguitel,"18.00182185723933, -12.018901697245532"
BA04,900,951.4-943.6,ZTE,2017-06-08,Chinguitel,"25.23507082460487, -5.857583242012076"
nema2,800/900/1800/2100,951.4-943.6;;825-870;1749.8-1844.8;2145-2155,ZTE,2007-08-23,Chinguitel,"20.136754533892493, -16.065967936674202"
NKC079,900/1800/2100,951.4-943.6;1749.8-1844.8;2145-2155,ZTE/Nokia,2014-03-16,Chinguitel,"20.565087324320135, -12.919474705018038"
Twajil,900,951.4-943.6,ZTE,2016-07-19,Chinguitel,"22.036140927411665, -8.09118239688879"
RKR6,800/900,951.4-943.6;825-870,ZTE,2007-08-23,Chinguitel,"18.465883462684285, -13.901843380275935"
NKC105,900/1800/2100,951.4-943.6;1749.8-1844.8;2145-2155,ZTE/Nokia,2017-05-30,Chinguitel,"17.34871585722234, -12.018576758600972"
Boutilimit_Rep,800/900,951.4-943.6;825-870,ZTE,2007-08-23,Chinguitel,"18.995221835098665, -9.567534643427337"
Guleb elkayne,800/900,951.4-943.6;825-870,ZTE,2007-08-23,Chinguitel,"23.356926147305156, -9.31236462152081"
NKC066,900/1800/2100,951.4-943.6;1749.8-1844.8;2145-2155,ZTE/Nokia,2010-08-23,Chinguitel,"18.711551397255455, -6.457696364201846"
Wadan,900,951.4-943.6,ZTE,2018-12-16,Chinguitel,"16.849406944167498, -11.854437426558146"
Ayoun2,800/900/2100,951.4-943.6;825-870;2145-2155,ZTE,2012-01-20,Chinguitel,"19.617895809629626, -10.416339415527318"
Sagne,900,951.4-943.6,ZTE,2013-05-04,Chinguitel,"20.472546047420185, -12.98849434770295"
NKC022,800/900/1800/2100,951.4-943.6;;825-870;1749.8-1844.8;2145-2150,ZTE/Nokia,2007-08-23,Chinguitel,"17.568425241005034, -8.951265096240775"
Tiyaret,800/900,951.4-943.6;825-870,ZTE,2007-08-23,Chinguitel,"16.528101012125866, -9.986957480459152"
Waly,900,951.4-943.6,ZTE,2016-05-16,Chinguitel,"24.880398455693076, -9.146255255840199"
NKC016,800/900/1800/2100,951.4-943.6;;825-870;1749.8-1844.8;2145-2150,ZTE/Nokia,2007-08-23,Chinguitel,"24.155829321775965, -6.565402802989931"
NKC119,900/1800/2100,951.4-943.6;1749.8-1844.8;2145-2155,ZTE/Nokia,2019-03-29,Chinguitel,"22.101302856961436, -7.898914601884579"
NAR11,800/900,951.4-943.6;825-870,ZTE,2019-01-10,Chinguitel,"21.068207674504134, -7.656850761857115"
NKC024,800/900/1800/2100,951.4-943.6;;825-870;1749.8-1844.8;2145-2150,ZTE/Nokia,2007-08-23,Chinguitel,"23.415299388746156, -8.152582185667386"
NKC080,900/1800/2100,951.4-943.6;1749.8-1844.8;2145-2155,ZTE/Nokia,2016-03-16,Chinguitel,"18.926395040275075, -7.68828009397388"
echram,900,951.4-943.6,ZTE,2017-02-17,Chinguitel,"20.28826377535638, -6.605303564598223"
NKC064,800/900/1800/2100,951.4-943.6;;825-870;1749.8-1844.8;2145-2155,ZTE/Nokia,2010-08-23,Chinguitel,"16.499725302734873, -9.618101421934828"
Nebaghiya,900,951.4-943.6,ZTE,2019-07-01,Chinguitel,"20.501024949651494, -14.497780565637346"
NKC056,800/900/1800/2100,951.4-943.6;;825-870;1749.8-1844.8;2145-2150,ZTE/Nokia,2010-08-23,Chinguitel,"16.528064237656388, -12.387446874545287"
Hasi_ehel_ahmed_bechna,900,951.4-943.6,ZTE,2012-05-16,Chinguitel,"19.170199485837312, -9.006929268502843"
Selibaby1,800/900/2100,951.4-943.6;825-870;2145-2155,ZTE,2010-08-23,Chinguitel,"23.304273135224086, -12.261427035411536"
NDB20,900/2100,951.4-943.6;2145-2150,ZTE,2017-02-15,Chinguitel,"24.03758570815333, -10.166508717590105"
Kiffa2,800/900/1800/2100,951.4-943.6;;825-870;1749.8-1844.8;2145-2155,ZTE,2017-02-12,Chinguitel,"21.280621265987232, -10.092128712929103"
Repeater nr r4_r5,800/900,951.4-943.6;825-870,ZTE,2007-08-23,Chinguitel,"16.636908621448768, -13.522953127213166"
NKC052,900/1800/2100,951.4-943.6;1749.8-1844.8;2145-2155,ZTE/Nokia,2010-08-23,Chinguitel,"18.299978754683274, -8.250665515275214"
NAR001,800/900/1800/2100,825-870;951.4-943.6;1749.8-1844.8;2145-2150,ZTE/Nokia,2017-02-11,Chinguitel,"17.3761227672652, -7.916777307715249"
Repeater-KS,800/900,951.4-943.6;825-870,ZTE,2007-08-23,Chinguitel,"18.443539712161208, -13.612133804738397"
Ojeft,900/2100,951.4-943.6;2145-2155,ZTE,2010-08-23,Chinguitel,"15.887665724285348, -6.862659491591346"
Mbout,800/900,951.4-943.6;825-870,ZTE,2011-07-02,Chinguitel,"16.87690234570502, -13.089937485092713"
NKC124,900/1800/2100,951.4-943.6;1749.8-1844.8;2145-2155,Nokia,2010-08-23,Chinguitel,"20.874287708345612, -15.301921814459515"
NKC001,800/900/1800/2100,951.4-943.6;;825-870;1749.8-1844.8;2145-2150,ZTE/Nokia,2007-08-23,Chinguitel,"25.311483163270214, -9.342841652861363"
KNR6,800/900,951.4-943.6;825-870,ZTE,2017-02-11,Chinguitel,"20.682607784443952, -15.339912646728518"
RKR4,800/900,951.4-943.6;825-870,ZTE,2010-08-23,Chinguitel,"17.344401176294916, -13.625986975802853"
AKJOUJET2,800/900/1800/2100,825-870;951.4-943.6;1749.8-1844.8;2145-2150,ZTE/Nokia,2016-08-25,Chinguitel,"16.401167851103303, -14.037906867725019"
Chagar,800/900,951.4-943.6;825-870,ZTE,2010-08-23,Chinguitel,"23.302738974640164, -6.992128853117347"
Kiffa5,800/900,951.4-943.6;825-870,ZTE,2017-02-11,Chinguitel,"23.406350576029265, -8.426412365330167"
NKC047,900/1800/2100,951.4-943.6;1749.8-1844.8;2145-2155,ZTE/Nokia,2007-08-23,Chinguitel,"18.952978215066327, -12.04043151086369"
NKC147,900/1800/2100,951.4-943.6;1749.8-1844.8;2145-2155,Nokia,2010-08-23,Chinguitel,"22.528446730337205, -6.7267307689013425"
Kiffa4,800/900,951.4-943.6;825-870,ZTE,2017-02-11,Chinguitel,"19.75786266278085, -10.206161110094579"
NAR5,800/900,951.4-943.6;825-870,ZTE,2011-07-02,Chinguitel,"25.005591222997573, -11.545434073348819"
NAR2,800/900,951.4-943.6;825-870,ZTE,2011-07-02,Chinguitel,"20.001748246780068, -10.387090292617792"
NKC036,800/900/1800/2100,951.4-943.6;;825-870;1749.8-1844.8;2145-2150,ZTE/Nokia,2007-08-23,Chinguitel,"25.711682272271283, -10.005825106357344"
MAL,900,951.4-943.6,ZTE,2010-08-23,Chinguitel,"25.311197819953364, -7.2514727723464585"
Kiffa1,800/900/1800/2100,951.4-943.6;;825-870;1749.8-1844.8;2145-2155,ZTE,2017-02-12,Chinguitel,"16.817560505871885, -12.103363926812245"
Nema4,900/2100,951.4-943.6;2145-2150,ZTE,2017-01-17,Chinguitel,"17.32557875996721, -12.28984565448069"
Soihle,900,951.4-943.6,ZTE,2010-08-23,Chinguitel,"21.04454905723061, -9.650509112227084"
NKC116,900/1800/2100,951.4-943.6;1749.8-1844.8;2145-2155,ZTE/Nokia,2012-05-17,Chinguitel,"21.288840465911175, -12.531149056024752"
AKJOUJET1,800/900/1800/2100,825-870;951.4-943.6;1749.8-1844.8;2145-2150,ZTE/Nokia,2014-01-17,Chinguitel,"16.4126880322125, -14.020941655322341"
NKC110,900/1800/2100,951.4-943.6;1749.8-1844.8;2145-2155,ZTE/Nokia,2010-08-23,Chinguitel,"21.822635501162132, -7.4384957890568835"
RKR1,800/900,951.4-943.6;825-870,ZTE,2007-08-23,Chinguitel,"23.82692777353661, -10.73735797402929"
NKC009,900/1800/2100,951.4-943.6;;825-870;1749.8-1844.8;2145-2150,ZTE/Nokia,2010-08-23,Chinguitel,"16.38245351979224, -11.066556807280202"
NKC096,900/1800/2100,951.4-943.6;1749.8-1844.8;2145-2155,ZTE/Nokia,2016-03-16,Chinguitel,"17.91156486458033, -15.811893682239754"
NKC058,800/900/1800/2100,951.4-943.6;;825-870;1749.8-1844.8;2145-2150,ZTE/Nokia,2010-08-23,Chinguitel,"23.781500854842946, -10.273112105838349"
Chinguitti,800/900/2100,951.4-943.6;825-870;2145-2155,ZTE,2007-08-23,Chinguitel,"24.042789565394123, -9.1728401765282"
NKC112,900/1800/2100,951.4-943.6;1749.8-1844.8;2145-2155,ZTE/Nokia,2016-03-31,Chinguitel,"17.237036008998977, -6.180608610408626"
Boghe1,800/900/2100,951.4-943.6;825-870;2145-2150,ZTE,2016-08-31,Chinguitel,"16.659092305940398, -9.039205222939724"
NKR1,800/900/1800/2100,951.4-943.6;;825-870;1749.8-1844.8;2145-2155,ZTE/,2007-08-23,Chinguitel,"21.47145884125504, -8.438562435184236"
NDB1,800/900/1800/2100,951.4-943.6;;825-870;1749.8-1844.8;2145-2150,ZTE,2007-08-23,Chinguitel,"21.45010145151913, -12.784023091748844"
Nbeika,900,951.4-943.6,ZTE,2019-01-10,Chinguitel,"20.129956721957768, -12.16725073244399"
Guerou2,900/2100,951.4-943.6;2145-2150,ZTE,2019-01-17,Chinguitel,"22.27334676811483, -11.329398734893518"
NKC011,800/900/1800/2100,951.4-943.6;;825-870;1749.8-1844.8;2145-2150,ZTE/Nokia,2007-08-23,Chinguitel,"21.690378245866125, -9.388195188131538"
NNR5,800/900,951.4-943.6;825-870,ZTE,2007-08-23,Chinguitel,"23.237965732519594, -6.604601716852629"
Voulaniya,900,951.4-943.6,ZTE,2011-08-16,Chinguitel,"21.517451260135562, -12.039450477335064"
NKC010,800/900/1800/2100,951.4-943.6;;825-870;1749.8-1844.8;2145-2150,ZTE/Nokia,2007-08-23,Chinguitel,"22.277054929619894, -13.057112618979755"
KSR2,800/900,951.4-943.6;825-870,ZTE,2010-08-23,Chinguitel,"17.81801703371259, -13.448848258857772"
ABR1,900,951.4-943.6,ZTE,2012-08-10,Chinguitel,"24.650527888348183, -7.219146856587264"
Kiffa6,800/900/1800/2100,951.4-943.6;;825-870;1749.8-1844.8;2145-2155,ZTE,2017-02-12,Chinguitel,"17.023186385237086, -6.124228823339427"
NKC133,900/1800/2100,951.4-943.6;1749.8-1844.8;2145-2155,ZTE/Nokia,2019-06-03,Chinguitel,"21.94903767677859, -8.599774417238283"
